split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
10,random,Random,0,15,0,15,40,40,1.0,16,0.4,1.8329331091319503,0.802620469422739,9.392161803728454,3.2228065182817938,0.36565861745260386,0
10,random,Random,1,15,5,20,35,40,1.0,10,0.25,1.4483659675656635,0.48963669552427813,10.793454842740767,3.1162878195669834,0.17346076780315295,0
10,random,Random,2,15,10,25,30,40,1.0,10,0.25,1.1453196509552375,0.3716963107742517,9.58465875108751,2.4540618473858014,0.2182059617147006,0
10,random,Random,3,15,15,30,25,40,1.0,8,0.2,1.0999974035037883,0.40693573300879127,9.380673689458071,2.345740226869923,0.21174317924621455,0
10,random,Random,4,15,20,35,20,40,1.0,13,0.325,1.566132397807387,0.3841063317952669,10.96348028065585,3.3353027999266165,-1.4438772297437934,0
10,random,Random,5,15,25,40,15,40,1.0,7,0.175,1.3118960271497007,0.16786447549030292,10.96348028065585,3.0602936661625715,-0.7252029991200263,0
10,random,Random,6,15,30,45,10,40,1.0,6,0.15,1.1292197899065546,0.21458802608755878,10.96348028065585,2.8005371295771044,-0.9499514979621839,0
10,random,Random,7,15,35,50,5,40,1.0,5,0.125,0.8812331260290778,0.12199976210053709,10.793454842740767,2.228423468903669,-0.725540416361128,0
10,random,Random,8,15,40,55,0,40,1.0,9,0.225,1.2875647978978304,0.21879704400624522,10.793454842740767,2.839088346242361,-0.2711701671081304,0
10,gp_m52_pi,GP M52 + PI,0,15,0,15,40,40,1.0,16,0.4,1.8329331091319503,0.802620469422739,9.392161803728454,3.2228065182817938,0.36565861745260386,0
10,gp_m52_pi,GP M52 + PI,1,15,5,20,35,40,1.0,12,0.3,1.6220212427928078,0.38527289534942977,10.167849819666293,3.2676723159337047,0.7622761987226359,0
10,gp_m52_pi,GP M52 + PI,2,15,10,25,30,40,1.0,10,0.25,1.6245569332587664,0.38035365774165086,10.253616115604826,3.3016607155389806,0.8439120360024217,0
10,gp_m52_pi,GP M52 + PI,3,15,15,30,25,40,1.0,12,0.3,1.6311322474258874,0.329382359720535,10.354690552318147,3.278059229829185,0.8522722818580559,0
10,gp_m52_pi,GP M52 + PI,4,15,20,35,20,40,1.0,11,0.275,1.3989012527954663,0.27034810951457455,10.793454842740767,3.0378473244266297,0.07034351004058918,0
10,gp_m52_pi,GP M52 + PI,5,15,25,40,15,40,1.0,10,0.25,1.1654081258692213,0.1815844704053644,9.992001966066868,2.580093483392774,0.3535565431268813,0
10,gp_m52_pi,GP M52 + PI,6,15,30,45,10,40,1.0,9,0.225,1.2855066173127878,0.18587728743310006,10.793454842740767,2.8961756064094075,0.08962892931736308,0
