split_seed,method,round,batch_position,experiment_id,selection_role,PI,EI,GP_mean,GP_std,d_min,B_I,B_F,suspicious,gate_fallback,q_true
14,random,1,1,Q060,random,0.049588895656550114,0.03518191941320023,8.986490975979159,1.7001170032248631,7.0,0.0,1.0,True,False,43612.0
14,random,1,2,Q051,random,0.01475182843202454,0.007746742388614898,8.559967438187337,1.483796633101193,7.0,0.0,1.0,True,False,873.0
14,random,1,3,Q030,random,0.07831267860303527,0.03718832097407607,10.299762162862411,1.0518586918406967,4.0,0.0,1.0,False,False,95814.0
14,random,1,4,Q007,random,0.8265270681531306,1.2458645637643895,12.923286552719494,1.20522799821639,8.0,0.0,1.0,True,False,0.0
14,random,1,5,Q095,random,0.026104956955528377,0.04750572171563994,2.492875431671568,4.788741945348543,13.0,1.0,0.0,True,False,0.0
14,random,2,1,Q080,random,0.1539514002956523,0.370282216325973,7.084863030413033,4.614280933505611,11.0,0.0,0.6000000238418579,True,False,0.0
14,random,2,2,Q079,random,0.16762609583840027,0.4293417440837859,7.154582932968447,4.810300203372156,14.0,1.0,0.0,True,False,32240.0
14,random,2,3,Q002,random,3.884469887830415e-18,6.706981007977206e-19,-1.3215799615064991,1.5240476729718166,9.0,0.0,1.0,True,False,0.0
14,random,2,4,Q090,random,0.007574917719435293,0.009866428929760834,2.1798027176282577,3.9566950107463774,10.0,0.0,1.0,True,False,0.0
14,random,2,5,Q013,random,6.980106144119519e-07,1.9097866188008835e-07,4.926643709124498,1.4222335068824628,4.0,0.0,1.0,False,False,2639.0
14,random,3,1,Q047,random,0.003081061805851033,0.00038282896916632227,10.665206674877485,0.41055704969937346,4.0,0.0,1.0,False,False,7770.0
14,random,3,2,Q049,random,0.0007162626181821863,6.793488312992083e-05,10.671364445167603,0.3508041303966532,3.0,0.0,0.0,False,False,163182.0
14,random,3,3,Q084,random,0.016449189702056055,0.02542698158114659,2.5910204725349617,4.311921173539012,7.0,0.0,1.0,True,False,0.0
14,random,3,4,Q037,random,3.2316307869569263e-125,9.59138273953777e-128,10.106564240695292,0.07080383582606294,1.0,0.0,0.0,False,False,76141.0
14,random,3,5,Q018,random,0.36329854440505427,0.12887784692472687,11.608216007588966,0.5191325886355584,2.0,0.0,0.0,False,False,207261.0
14,random,4,1,Q008,random,1.4952414234284367e-13,2.6237474500964172e-14,2.580658362759403,1.3257454519161838,5.0,0.0,1.0,True,False,0.0
14,random,4,2,Q034,random,0.64613349662599,0.7531865029561624,12.711548188202585,1.2264769116269458,3.0,0.0,0.0,False,False,107033.0
14,random,4,3,Q085,random,1.276865655237319e-05,8.168978642837795e-06,-0.2071089115130178,2.9593478098453105,12.0,0.0,1.0,True,False,0.0
14,random,4,4,Q094,random,0.001449662236456248,0.0015592398717197004,0.9978862362321204,3.778723972275655,10.0,0.20000000298023224,0.800000011920929,True,False,0.0
14,random,4,5,Q005,random,1.0802761388454077e-08,3.660245493027607e-09,1.007438612306994,2.008402946117073,8.0,0.0,1.0,True,False,42083.0
14,random,5,1,Q021,random,0.033320235176602084,0.01307372275086472,10.420715900339193,0.9983272143828086,2.0,0.0,0.0,False,False,67531.0
14,random,5,2,Q072,random,0.14693533921016527,0.21169832042964504,9.31741545634639,2.795477133691272,4.0,0.0,0.0,False,False,57726.0
14,random,5,3,Q068,random,0.13120482279675422,0.21453904893436537,8.600773975153738,3.257713551773912,6.0,0.0,0.0,False,False,50021.0
14,random,5,4,Q041,random,0.008974416536121126,0.002548795850876865,10.245315709710336,0.8477825748664227,2.0,0.0,0.0,False,False,155410.0
14,random,5,5,Q081,random,0.028021738720177342,0.04525078978862812,4.209559281615222,4.209028407747531,6.0,1.0,0.0,True,False,0.0
14,random,6,1,Q059,random,0.007491412791336203,0.00394581367877694,8.354863754063548,1.601810651602508,3.0,0.0,0.0,False,False,128632.0
14,random,6,2,Q048,random,0.048625920679722094,0.018859092438783656,10.705690232254241,0.93229525916589,2.0,0.0,0.0,False,False,42637.0
14,random,6,3,Q083,random,0.09747235283606587,0.22144076951168268,5.9999289037619965,4.823594990837082,8.0,1.0,0.0,True,False,0.0
14,random,6,4,Q078,random,0.27372966869707493,0.6950491153935102,9.766500488348086,4.1312430309622785,9.0,0.0,1.0,True,False,51868.0
14,random,6,5,Q052,random,0.12855650406219615,0.09103766262549326,10.645485038929245,1.4173982017578044,2.0,0.0,0.0,False,False,81273.0
14,random,7,1,Q063,random,0.0650191035769956,0.01884119745465966,11.246899236513158,0.6637200130579123,2.0,0.0,0.0,False,False,38893.0
14,random,7,2,Q010,random,0.0031245810160199666,0.0022449435997217784,5.76807548634381,2.3711354686331827,4.0,1.0,0.0,False,False,0.0
14,random,7,3,Q036,random,0.004416800065611744,0.006156774782495315,0.571963095065378,4.460606549888543,6.0,0.0,1.0,True,False,0.0
14,random,7,4,Q077,random,0.09669822017895668,0.24780047517510695,5.163832624584588,5.449733039216022,9.0,0.0,1.0,True,False,226.0
14,random,7,5,Q073,random,0.024203187353482068,0.005877144105245681,10.977832696473277,0.6454134034951413,4.0,0.0,0.0,False,False,31696.0
14,random,8,1,Q057,random,0.16274394168993567,0.44248201326018854,7.193300621943949,5.144647492683332,5.0,0.0,1.0,True,False,0.0
14,random,8,2,Q017,random,0.6439386897347142,0.4315225644524742,12.512650063370558,0.7070630055594749,2.0,0.0,0.0,False,False,247107.0
14,random,8,3,Q029,random,0.2032093174238923,0.05777553556864157,11.830754732085554,0.5070800879770267,1.0,0.0,0.0,False,False,119441.0
