split_seed,method,round,batch_position,experiment_id,selection_role,PI,EI,GP_mean,GP_std,d_min,B_I,B_F,suspicious,gate_fallback,q_true
17,random,1,1,Q053,random,0.8904691307347233,0.565582409010416,12.603275324525315,0.44121664927347914,4.0,0.0,0.0,False,False,110908.0
17,random,1,2,Q029,random,0.009741135649707203,0.0014134774681938602,11.057839778225935,0.4294068987258674,2.0,0.0,0.0,False,False,119441.0
17,random,1,3,Q018,random,0.09736041729322653,0.03247437113522046,11.14245077616191,0.7083592665973595,2.0,0.0,0.0,False,False,207261.0
17,random,1,4,Q068,random,0.9732936138961675,1.698330665565106,13.750435170776623,0.8746398853718268,6.0,0.0,0.0,False,False,50021.0
17,random,1,5,Q022,random,0.026193663269583403,0.002346240604559539,11.603956222374219,0.23560144141608003,3.0,0.0,0.0,False,False,114383.0
17,random,2,1,Q074,random,0.02397305529257549,0.0073097604656264595,10.646796798852208,0.8114597277372883,5.0,0.0,0.0,False,False,34285.0
17,random,2,2,Q008,random,0.16528065270533998,0.2167134755308679,9.84716878322073,2.4713360586085873,8.0,0.0,1.0,True,False,0.0
17,random,2,3,Q006,random,0.08663277226115379,0.03395566888400145,11.091830084235868,0.851755851682453,7.0,0.0,0.0,False,False,2244.0
17,random,2,4,Q036,random,0.11345335895170189,0.09506413638279715,10.16870583226534,1.723843656693998,4.0,0.0,1.0,False,False,0.0
17,random,2,5,Q043,random,7.310587767344204e-25,8.161768721523505e-26,0.3517351418493089,1.1632980050588502,1.0,0.0,0.0,False,False,1379.0
17,random,3,1,Q078,random,0.17461952526507385,0.34075051939724155,8.8571916644563,3.626396219665181,9.0,0.0,0.0,False,False,51868.0
17,random,3,2,Q023,random,0.6580210360067684,0.8310606261980666,12.784424574168378,1.3085906839639507,1.0,0.0,0.0,False,False,130578.0
17,random,3,3,Q041,random,0.2875183670461536,0.44687112216807773,10.857730599304485,2.486418390543182,4.0,0.0,0.0,False,False,155410.0
17,random,3,4,Q019,random,0.4863678679297148,0.624978413895741,12.195835152276295,1.6356983824454687,7.0,0.0,0.0,False,False,84493.0
17,random,3,5,Q066,random,0.3833936475207651,0.42996439327665475,11.776047376322545,1.6039241814475635,3.0,0.0,0.0,False,False,82233.0
