feature,pearson_r_noncat,spearman_rho_noncat
V_I,0.13054738839353677,0.4326125366147813
V_F,-0.16322966647238168,-0.3852277519207066
d_min,-0.3024054723245435,-0.555131549707126
N_R1,0.13803175200791185,0.22830997129193464
N_R2,0.07296417900143373,0.3821507294312741
B_I,-0.41003798647564305,-0.7189604668420873
B_F,-0.09838367660894101,-0.2379927711503271
