experiment_id,metal_amount,modulator,add_solvent,reaction_time,reaction_temperature,Intensity_exp,FWHM_exp,q_true,q_pred_mean,intensity_pred_mean,fwhm_pred_mean,rf_intensity_variance,rf_fwhm_variance,nearest_chebyshev_distance,rule1_neighbor_count,rule2_neighbor_count,rule_applied,intensity_3000_cross_rate,fwhm_3_cross_rate,y_abs_error,y_log_abs_error,y_signed_log_error
Q001,5,5,0,1,30,1457.0,0.32,4553,0.0,3684.2,30.0,19403494.729528747,212.255640452125,7.0,0,0,0,0.0,1.0,4553.0,8.423761246623686,-8.423761246623686
Q002,5,7,21,12,20,0.0,30.0,0,0.0,0.0,30.0,30423934.02863375,216.60626573762505,5.0,0,0,0,1.0,0.0,0.0,0.0,0.0
Q003,5,15,0,1,30,0.0,30.0,0,0.0,0.0,30.0,1882948.13349375,169.904210075125,7.0,0,0,0,1.0,0.0,0.0,0.0,0.0
Q004,5,15,2,11,16,0.0,30.0,0,0.0,0.0,30.0,11469931.799475,22.712026245750003,7.0,0,0,0,1.0,0.0,0.0,0.0,0.0
Q005,6,5,29,11,27,7575.0,0.18,42083,0.0,6130.6,30.0,128744930.0927325,212.60442581075,7.0,0,0,0,0.0,1.0,42083.0,10.64742289992818,-10.647422899928179
Q006,6,6,12,11,20,1077.0,0.48,2244,0.0,3539.0,30.0,37181787.79428625,210.39832064350003,4.0,0,0,0,0.0,1.0,2244.0,7.716460800176355,-7.716460800176355
Q007,6,6,19,12,30,0.0,30.0,0,0.0,4920.6,30.0,93455976.65550126,96.978024617625,6.0,0,0,0,0.0,1.0,0.0,0.0,0.0
Q008,7,6,20,11,15,0.0,30.0,0,0.0,0.0,30.0,10050592.3806875,66.82221017699999,5.0,0,0,0,1.0,0.0,0.0,0.0,0.0
Q009,9,6,1,12,19,1318.0,0.4,3295,0.0,4826.6,30.0,57602322.515952505,165.56060184474998,5.0,0,0,0,0.0,1.0,3295.0,8.100464891029363,-8.100464891029363
Q010,9,8,13,7,20,0.0,30.0,0,0.0,0.0,30.0,11824207.27839375,15.722298901124995,4.0,0,0,0,1.0,0.0,0.0,0.0,0.0
Q011,9,14,7,4,11,182.0,30.0,0,0.0,0.0,30.0,5108096.40412125,19.128162257250004,7.0,0,0,0,1.0,0.0,0.0,0.0,0.0
Q012,10,7,0,12,24,688.0,0.6,1147,1611.6,6706.2,13.52,70497647.73547626,68.85301269649999,5.0,0,0,0,0.0,0.4,1382.2,3.3252500830423166,0.33982648537141014
Q013,10,7,13,12,29,1082.0,0.41,2639,0.0,8033.6,30.0,153596351.52712625,118.564061709875,4.0,0,0,0,0.0,1.0,2639.0,7.878534196140362,-7.878534196140362
Q014,11,7,12,11,24,28179.0,0.26,108381,39681.2,15782.2,0.406,87064387.67382249,3.5029033231249995,2.0,0,3,2,0.0,0.0,68699.8,1.0143752664867016,-1.0047592991288035
Q015,12,8,10,11,18,7305.0,0.15,48700,3760.8,7363.4,1.98,20287268.761553753,68.10118172924999,2.0,0,1,2,0.0,0.0,44939.2,2.566719623719651,-2.560801997504063
Q016,12,9,1,7,29,785.0,2.2,357,0.0,5047.6,30.0,37425673.8342575,65.021164972625,5.0,0,0,0,0.0,1.0,357.0,5.8805329864007,-5.8805329864007
Q017,13,5,10,11,24,34595.0,0.14,247107,106067.2,23537.6,0.222,52090602.748575,0.00169910775,2.0,0,4,2,0.0,0.0,141039.8,0.846024257230096,-0.845743204579076
Q018,13,6,13,11,24,37307.0,0.18,207261,104582.4,26145.6,0.25,36168908.1059675,0.0016351657499999,2.0,0,7,2,0.0,0.0,102678.6,0.6840118397795137,-0.6839988541969664
Q019,13,6,25,12,24,23658.0,0.28,84493,114560.2,31382.6,0.274,69447098.46374875,0.003701227375,2.0,0,1,2,0.0,0.0,30067.2,0.3043464091248588,0.3044286520928807
Q020,13,7,10,12,25,24240.0,0.24,101000,117006.2,26911.4,0.23,45761288.38776875,0.002167655125,2.0,0,3,2,0.0,0.0,16006.2,0.1470871357322668,0.14710505358353743
Q021,13,7,11,11,23,17558.0,0.26,67531,129292.0,28444.2,0.22,43064720.64282375,0.001525008625,2.0,0,4,2,0.0,0.0,61761.0,0.6494527662210092,0.6494795870330226
Q022,13,7,15,12,25,27452.0,0.24,114383,112760.8,29317.8,0.26,25542384.762161247,0.0011297117499999,1.0,2,2,1,0.0,0.0,1622.2,0.0142850856676357,-0.014283579798506807
Q023,14,6,15,12,26,30033.0,0.23,130578,108447.0,28196.2,0.26,72778310.23844875,0.0019317509999999,1.0,2,2,1,0.0,0.0,22131.0,0.1857096590171913,-0.1857076121639203
Q024,14,7,7,11,26,7418.0,0.29,25579,93363.8,20540.0,0.22,62693347.40513625,0.0014298167499999,2.0,0,1,2,0.0,0.0,67784.8,1.29466703017038,1.2947036043877045
Q025,14,7,11,11,20,12434.0,0.24,51808,20383.2,9658.8,0.474,77635712.96591374,2.64741250625,1.0,2,4,1,0.0,0.0,31424.8,0.9329514633025034,-0.9328037883886626
Q026,14,7,15,11,26,28764.0,0.29,99186,116373.2,27929.6,0.24,77890694.6341425,0.0010107116249999,1.0,2,2,1,0.0,0.0,17187.2,0.1597975181668875,0.1598039039287844
Q027,14,12,2,11,15,0.0,30.0,0,0.0,0.0,30.0,19695831.407493748,32.7870625,6.0,0,0,0,1.0,0.0,0.0,0.0,0.0
Q028,15,5,0,12,24,15489.0,0.28,55318,71696.0,17185.2,0.24,85124736.99631874,0.041812847125,4.0,0,0,0,0.0,0.0,16378.0,0.2579992044924708,0.2593324757378337
Q029,15,5,8,11,23,26277.0,0.22,119441,95194.2,19990.8,0.21,21559734.165701248,0.001631916125,1.0,1,2,1,0.0,0.0,24246.8,0.2269023180236505,-0.22690137754173811
Q030,15,5,8,12,23,20121.0,0.21,95814,116891.0,25716.0,0.22,31149350.665316246,0.001616787125,1.0,1,2,1,0.0,0.0,21077.0,0.198830366969517,0.19883118265635957
Q031,15,5,11,10,21,18112.0,0.29,62455,71462.6,17657.4,0.248,34669607.053995,0.4432732098749999,2.0,0,3,2,0.0,0.0,9007.6,0.1329795545491627,0.13472592034210606
Q032,15,6,10,11,14,0.0,30.0,0,0.0,0.0,30.0,50326715.16541375,73.947294468875,2.0,0,1,2,1.0,0.0,0.0,0.0,0.0
Q033,15,6,14,12,21,19118.0,0.25,76472,88472.6,19635.4,0.222,61949181.6503275,0.001154427875,2.0,0,1,2,0.0,0.0,12000.6,0.1456263452070409,0.14576646506970192
Q034,15,6,23,12,24,32110.0,0.3,107033,93727.8,24550.8,0.262,83705193.05083749,0.00130189875,2.0,0,1,2,0.0,0.0,13305.2,0.1328753025573082,-0.1327410350519962
Q035,15,7,7,7,26,11663.0,0.23,50709,15856.8,13940.8,0.8800000000000001,65484944.901604995,14.3855118205,3.0,0,0,0,0.0,0.0,34852.2,1.1629850558460433,-1.162461636967139
Q036,15,7,10,11,12,0.0,30.0,0,0.0,1288.0,30.0,50923466.40736749,86.514951066375,2.0,0,1,2,0.6,0.4,0.0,0.0,0.0
Q037,15,7,12,11,19,16751.0,0.22,76141,19113.2,7752.8,0.406,50088931.50422,0.8830905938749998,1.0,3,2,1,0.0,0.0,57027.8,1.382703200979511,-1.382168503687696
Q038,15,7,13,9,23,23301.0,0.29,80348,90514.8,26374.8,0.298,54364558.19116125,3.9543179105,2.0,0,2,2,0.0,0.0,12421.6,0.1361527776986186,0.11914477454758199
Q039,15,7,13,11,18,7703.0,0.27,28530,15484.4,9880.4,0.642,37745199.90740125,26.109450328625,1.0,2,2,1,0.0,0.0,13045.6,0.6142303886295298,-0.611093570893507
Q040,15,7,14,11,24,23969.0,0.21,114138,111644.0,27911.0,0.25,65859949.187047504,0.0010255154999999,2.0,0,5,2,0.0,0.0,2494.0,0.0221192621425771,-0.022092809419707038
Q041,15,7,16,12,29,31082.0,0.2,155410,45961.8,16163.0,0.356,188778519.66088623,3.97327028025,2.0,0,2,2,0.0,0.0,109448.2,1.2251031164004331,-1.2182408468329946
Q042,15,8,9,12,19,903.0,2.0,452,12821.4,9229.8,0.724,33916628.39562374,20.54881524725,2.0,0,1,2,0.0,0.0,12369.4,3.340644674171344,3.343056794958791
Q043,15,8,12,11,19,1103.0,0.8,1379,11958.4,10726.6,0.898,38290595.6052075,64.61382370562501,1.0,3,0,1,0.0,0.0,10579.4,2.1588637687232017,2.1594340808708745
Q044,16,6,6,5,23,16918.0,0.31,54574,32235.0,15961.4,0.518,55315111.68094375,4.886821859125,3.0,0,0,0,0.0,0.0,22339.0,0.5500244096451983,-0.5264920619737428
Q045,16,7,8,11,24,21878.0,0.21,104181,88541.6,21771.6,0.246,51505909.458807506,0.001176495125,2.0,0,5,2,0.0,0.0,15639.4,0.162915718538494,-0.16265557754400461
Q046,16,7,11,12,24,16348.0,0.28,58386,112287.2,28071.8,0.25,31312971.07116375,0.000577737125,1.0,1,2,1,0.0,0.0,53901.2,0.6539753036737661,0.6539755182186564
Q047,16,7,14,11,30,2331.0,0.3,7770,12987.2,27832.0,2.16,67743017.85401002,100.97703138162498,2.0,0,1,2,0.0,0.0,5217.2,0.5094877349140716,0.5136423967246238
Q048,16,7,15,11,18,12791.0,0.3,42637,16229.8,9516.2,0.6199999999999999,74735380.44619125,20.65366320725,2.0,0,1,2,0.0,0.0,26407.2,0.9952831311142532,-0.9658352026950201
Q049,16,7,18,12,25,35900.0,0.22,163182,157476.4,34644.8,0.22,54611253.73989625,0.001257149625,1.0,1,1,1,0.0,0.0,5705.6,0.0355908353024869,-0.03559031453139028
Q050,16,7,22,3,20,2345.0,0.37,6338,6921.8,9957.6,1.44,97614254.26582123,25.4914505615,2.0,0,1,2,0.0,0.0,583.8,0.0875280740380908,0.0880992847666775
Q051,16,9,23,4,21,960.0,1.1,873,2065.6,5032.2,2.44,135306871.0823275,81.46347119525001,2.0,0,1,2,0.0,0.0,1192.6,0.8594396223605033,0.8605796481247188
Q052,17,6,11,11,22,17880.0,0.22,81273,122611.8,26974.6,0.22,32348600.42470125,0.001400133625,1.0,1,2,1,0.0,0.0,41338.8,0.4112038556575157,0.4112052604122489
Q053,17,7,10,12,25,28836.0,0.26,110908,64696.8,17468.2,0.27,41851162.183701254,0.00079685825,1.0,1,2,1,0.0,0.0,46211.2,0.5390025780505759,-0.538982847418918
Q054,17,7,16,11,27,29258.0,0.29,100890,127789.6,29391.6,0.23,119282602.00420126,0.0013624532499999,2.0,0,2,2,0.0,0.0,26899.6,0.236309244926343,0.23635226065637838
Q055,17,7,18,12,24,35967.0,0.21,171271,157035.4,34547.8,0.22,58392951.61297375,0.001051105625,1.0,1,0,1,0.0,0.0,14235.6,0.086778730587806,-0.08677531043474751
Q056,17,7,20,11,21,26346.0,0.28,94093,81203.0,20535.6,0.256,127573317.37562752,0.443146006875,3.0,0,0,0,0.0,0.0,12890.0,0.1526354118703448,-0.14732977556499982
Q057,17,13,16,12,24,0.0,30.0,0,0.0,10755.6,30.0,209050214.76505375,185.64130580975,5.0,0,0,0,0.0,1.0,0.0,0.0,0.0
Q058,18,7,1,4,19,19300.0,0.32,60312,11694.2,10615.8,0.918,64654727.220517494,13.162012058125,5.0,0,0,0,0.0,0.0,48617.8,1.6449799786859187,-1.6403691680050123
Q059,18,7,10,12,23,28299.0,0.22,128632,80176.4,18440.6,0.23,26832304.2435875,0.000949738625,1.0,1,3,1,0.0,0.0,48455.6,0.4727267456717435,-0.4727217088777671
Q060,19,5,2,12,24,6978.0,0.16,43612,49088.4,12957.2,0.264,36940853.793393746,0.019727999,2.0,0,2,2,0.0,0.0,5476.4,0.1182261973678731,0.11828785449649004
Q061,19,6,4,12,25,12874.0,0.21,61305,48592.0,9718.4,0.2,48578003.803797506,0.010004722875,2.0,0,1,2,0.0,0.0,12713.0,0.2324669349692723,-0.23239822982361957
Q062,19,8,12,11,16,0.0,30.0,0,0.0,4270.8,30.0,26008827.013737496,121.80236252475,3.0,0,0,0,0.0,1.0,0.0,0.0,0.0
Q063,20,6,0,12,23,11668.0,0.3,38893,45766.6,9880.4,0.216,26056894.732776247,0.059626046125,2.0,0,1,2,0.0,0.0,6873.6,0.1623904356812133,0.1627364201145287
Q064,20,7,30,11,29,10048.0,0.22,45673,33407.0,14364.0,0.432,73435235.02800749,4.86797237225,5.0,0,0,0,0.0,0.0,12266.0,0.3167393655103499,-0.3127338159492261
Q065,21,5,26,11,23,9906.0,0.26,38100,43835.0,11609.2,0.268,56675682.71387,0.4444415537499999,4.0,0,0,0,0.0,0.0,7063.4,0.1706296400170934,0.14021486909376968
Q066,21,6,13,12,19,17269.0,0.21,82233,44971.8,13513.6,0.32,55264722.17294125,1.7673208371249998,3.0,0,0,0,0.0,0.0,37261.2,0.6350924961884171,-0.6035109792712188
Q067,23,7,2,12,19,20334.0,0.27,75311,55191.8,14304.8,0.262,34104258.91661125,0.4536173822500001,4.0,0,0,0,0.0,0.0,20119.2,0.3157183817952934,-0.3108069746657023
Q068,23,7,14,11,25,12005.0,0.24,50021,64822.8,15423.0,0.238,42869863.96046625,0.0010855729999999,4.0,0,0,0,0.0,0.0,14801.8,0.2589052032569682,0.25920991122007564
Q069,23,7,30,11,24,18169.0,0.2,90845,25054.4,7265.8,0.29,25171725.5659425,0.0013449336249999,2.0,0,1,2,0.0,0.0,65790.6,1.2881634055890818,-1.2880763920927691
Q070,24,5,30,12,24,4394.0,0.31,14174,78046.0,16149.2,0.208,31444841.29226,0.44477485775,2.0,0,1,2,0.0,0.0,63872.0,1.7033438959089384,1.7058313597094852
Q071,24,7,18,12,24,13410.0,0.22,60955,34697.8,9021.4,0.26,58869953.346072495,0.0012277795,1.0,1,0,1,0.0,0.0,26257.2,0.563455654110431,-0.5634471882053411
Q072,24,7,22,8,21,17895.0,0.31,57726,14715.8,11957.0,0.8320000000000001,44019921.589420006,14.30858619525,4.0,0,0,0,0.0,0.0,43010.2,1.377919319052565,-1.3667353033102447
Q073,25,7,18,11,24,8241.0,0.26,31696,40010.4,13243.0,0.336,28574585.94981125,16.4959437845,1.0,1,0,1,0.0,0.0,8314.4,0.2254248771691926,0.23294237432827636
Q074,25,7,19,10,27,11657.0,0.34,34285,12227.0,9418.4,0.828,24002072.288595,16.424381253,3.0,0,0,0,0.0,0.0,22058.0,1.0673188245402396,-1.0310087035567008
Q075,25,13,14,7,24,0.0,30.0,0,0.0,0.0,30.0,24910057.710092496,177.01024434,6.0,0,0,0,1.0,0.0,0.0,0.0,0.0
Q076,27,7,27,12,26,7910.0,0.23,34391,13855.6,10913.8,0.8240000000000001,32897448.3754225,14.903420522250002,3.0,0,0,0,0.0,0.0,20535.4,0.9356870148895716,-0.9090623257710124
Q077,27,12,1,2,25,880.0,3.9,226,0.0,0.0,30.0,15300734.824317504,103.64433984975,9.0,0,0,0,1.0,0.0,226.0,5.424950017481403,-5.424950017481403
Q078,28,7,0,12,30,11411.0,0.22,51868,609.8,8002.8,24.54,22499946.42555625,73.09736530175,8.0,0,0,0,0.0,0.8,51258.2,9.251897214272663,-4.441707014848479
Q079,33,10,7,11,18,8060.0,0.25,32240,0.0,0.0,30.0,10044459.00267,132.282684356,8.0,0,0,0,1.0,0.0,32240.0,10.380994213509265,-10.380994213509263
