method,family,run,final_best_q,final_simple_regret,final_normalized_regret,final_best_rank_percentile,final_hit_top1pct,final_hit_top0_1pct,final_success_fraction,first_final_best_iteration,first_final_best_n_experiments,experiments_to_90pct_oracle,iteration_to_90pct_oracle,auc_normalized_best,total_fit_seconds,total_acq_seconds,total_seconds,last_surrogate_rmse_raw,last_surrogate_mae_raw,last_surrogate_spearman_raw,last_surrogate_crps,last_surrogate_nll,last_surrogate_coverage95,pool_oracle_best_q,full_grid_best_q
GP_Matern52_PI,Acquisition Ablation,0,218507.0,28600.0,0.11573933559146443,99.99947551060681,1.0,1.0,0.6866666666666666,23.0,118.0,,,0.6265537466225833,4.20491754098839,0.7490682930074399,4.95398583399583,6252.997768534635,1159.110086447267,0.413254782818155,1.5589375668800176,2.7170588695356344,0.9714,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,1,150909.0,96198.0,0.38929694423873057,99.99229656203758,1.0,1.0,0.7066666666666667,29.0,148.0,,,0.22306686307281193,3.2384481220105954,0.6808699159992102,3.9193180380098056,5951.8309116282035,953.3565746461439,0.417138574257252,1.0011343198978102,2.4765911345164406,0.9472,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,2,151964.0,95143.0,0.38502753867757694,99.9927882708437,1.0,1.0,0.6,16.0,83.0,,,0.4862867772530389,3.619227374019829,0.6935147960066388,4.312742170026468,107082.72449886698,4948.845224990469,0.37257840556745997,1.7397877271513595,2.7766340999591557,0.9772,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,3,143257.0,103850.0,0.420263286754321,99.98898572274311,1.0,1.0,0.7333333333333333,26.0,133.0,,,0.4513206154958515,4.025155041003018,0.7050240410026163,4.730179082005634,4538.768784153561,776.7032960958182,0.41902470558881333,1.3569983564117498,2.692291454094491,0.9558,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,4,159327.0,87780.0,0.3552307300076485,99.99526320516779,1.0,1.0,0.6733333333333333,25.0,128.0,,,0.42974642563747695,4.300977546998183,0.6999024140059191,5.000879961004102,5879.263506492663,981.5605514856746,0.3739775771108524,1.9707795888547932,2.7052315956998436,0.9804,247107.0,247107.0
