$ /opt/anaconda3/envs/actmof/bin/python /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/my_scripts/lucien/2026-08-19/experiment_a/run_experiment_a.py --n-rounds 5 --budget 150 --batch-size 5 --exploration 0 --policy gp_m52_pi --results-base-dir /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/results/lucien/2026-08-20/experiment_a

[CONFIG] runs=5 batch_size=5 budget=150 exploration_slots=0 policy=gp_m52_pi method=GP_Matern52_PI
[PASS] Gate metadata feature order matches all 6,101,172 benchmark pool rows.
[OUTPUT] Writing run outputs to /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/results/lucien/2026-08-20/experiment_a/gp_m52_pi/n_rounds_5/budget_150/batch_size_5/exploration_0
[GP_Matern52_PI run 3] iter=01 n=8 best_q=33849
[GP_Matern52_PI run 3] iter=02 n=13 best_q=33849
[GP_Matern52_PI run 3] iter=03 n=18 best_q=44239
[GP_Matern52_PI run 3] iter=04 n=23 best_q=45948
[GP_Matern52_PI run 3] iter=05 n=28 best_q=49339
[GP_Matern52_PI run 3] iter=06 n=33 best_q=101830
[GP_Matern52_PI run 3] iter=07 n=38 best_q=101830
[GP_Matern52_PI run 3] iter=08 n=43 best_q=116612
[GP_Matern52_PI run 3] iter=09 n=48 best_q=116612
[GP_Matern52_PI run 3] iter=10 n=53 best_q=116612
[GP_Matern52_PI run 3] iter=11 n=58 best_q=116612
[GP_Matern52_PI run 3] iter=12 n=63 best_q=116612
[GP_Matern52_PI run 3] iter=13 n=68 best_q=116612
[GP_Matern52_PI run 3] iter=14 n=73 best_q=131413
[GP_Matern52_PI run 3] iter=15 n=78 best_q=131413
[GP_Matern52_PI run 3] iter=16 n=83 best_q=131413
[GP_Matern52_PI run 3] iter=17 n=88 best_q=131413
[GP_Matern52_PI run 3] iter=18 n=93 best_q=131413
[GP_Matern52_PI run 3] iter=19 n=98 best_q=131413
[GP_Matern52_PI run 3] iter=20 n=103 best_q=133674
[GP_Matern52_PI run 3] iter=21 n=108 best_q=133674
[GP_Matern52_PI run 3] iter=22 n=113 best_q=133674
[GP_Matern52_PI run 3] iter=23 n=118 best_q=133674
[GP_Matern52_PI run 3] iter=24 n=123 best_q=133674
[GP_Matern52_PI run 3] iter=25 n=128 best_q=133674
[GP_Matern52_PI run 3] iter=26 n=133 best_q=143257
[GP_Matern52_PI run 3] iter=27 n=138 best_q=143257
[GP_Matern52_PI run 3] iter=28 n=143 best_q=143257
[GP_Matern52_PI run 3] iter=29 n=148 best_q=143257
[GP_Matern52_PI run 3] iter=30 n=150 best_q=143257
[GP_Matern52_PI run 4] iter=01 n=8 best_q=0
[GP_Matern52_PI run 4] iter=02 n=13 best_q=0
[GP_Matern52_PI run 4] iter=03 n=18 best_q=0
[GP_Matern52_PI run 4] iter=04 n=23 best_q=0
[GP_Matern52_PI run 4] iter=05 n=28 best_q=58131
[GP_Matern52_PI run 4] iter=06 n=33 best_q=58131
[GP_Matern52_PI run 4] iter=07 n=38 best_q=58131
[GP_Matern52_PI run 4] iter=08 n=43 best_q=58131
[GP_Matern52_PI run 4] iter=09 n=48 best_q=113835
[GP_Matern52_PI run 4] iter=10 n=53 best_q=113835
[GP_Matern52_PI run 4] iter=11 n=58 best_q=113835
[GP_Matern52_PI run 4] iter=12 n=63 best_q=113835
[GP_Matern52_PI run 4] iter=13 n=68 best_q=113835
[GP_Matern52_PI run 4] iter=14 n=73 best_q=135843
[GP_Matern52_PI run 4] iter=15 n=78 best_q=137196
[GP_Matern52_PI run 4] iter=16 n=83 best_q=137196
[GP_Matern52_PI run 4] iter=17 n=88 best_q=137196
[GP_Matern52_PI run 4] iter=18 n=93 best_q=137196
[GP_Matern52_PI run 4] iter=19 n=98 best_q=137196
[GP_Matern52_PI run 4] iter=20 n=103 best_q=137196
[GP_Matern52_PI run 4] iter=21 n=108 best_q=137196
[GP_Matern52_PI run 4] iter=22 n=113 best_q=137196
[GP_Matern52_PI run 4] iter=23 n=118 best_q=137196
[GP_Matern52_PI run 4] iter=24 n=123 best_q=137196
[GP_Matern52_PI run 4] iter=25 n=128 best_q=159327
[GP_Matern52_PI run 4] iter=26 n=133 best_q=159327
[GP_Matern52_PI run 4] iter=27 n=138 best_q=159327
[GP_Matern52_PI run 4] iter=28 n=143 best_q=159327
[GP_Matern52_PI run 4] iter=29 n=148 best_q=159327
[GP_Matern52_PI run 4] iter=30 n=150 best_q=159327
[SKIP] Validated vanilla reference uses batch_size=3; batch-size regression is not applicable.

Experiment A

Policy: gp_m52_pi
Method: GP_Matern52_PI
Run 1   final q 218507
Run 2   final q 150909
Run 3   final q 151964
Run 4   final q 143257
Run 5   final q 159327
Mean +/- SD: 164792.8 +/- 30562.3
Total policy fallbacks: 0
Fraction of policy iterations requiring fallback: 0.000000
[SEED] replicate seed formula: RANDOM_STATE + 10000*run + stable_int(GP_Matern52_PI)

$ /opt/anaconda3/envs/actmof/bin/python /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/my_scripts/lucien/2026-08-19/experiment_a/plot_experiment_a.py --results-dir /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/results/lucien/2026-08-20/experiment_a/gp_m52_pi/n_rounds_5/budget_150/batch_size_5/exploration_0 --figure-dir /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/figures/lucien/2026-08-20/experiment_a/gp_m52_pi/n_rounds_5/budget_150/batch_size_5/exploration_0

Read metrics from /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/results/lucien/2026-08-20/experiment_a/gp_m52_pi/n_rounds_5/budget_150/batch_size_5/exploration_0
Saved figures to /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/figures/lucien/2026-08-20/experiment_a/gp_m52_pi/n_rounds_5/budget_150/batch_size_5/exploration_0
