method,family,run,final_best_q,final_simple_regret,final_normalized_regret,final_best_rank_percentile,final_hit_top1pct,final_hit_top0_1pct,final_success_fraction,first_final_best_iteration,first_final_best_n_experiments,experiments_to_90pct_oracle,iteration_to_90pct_oracle,auc_normalized_best,total_fit_seconds,total_acq_seconds,total_seconds,last_surrogate_rmse_raw,last_surrogate_mae_raw,last_surrogate_spearman_raw,last_surrogate_crps,last_surrogate_nll,last_surrogate_coverage95,pool_oracle_best_q,full_grid_best_q
GP_Matern52_PI,Acquisition Ablation,0,221213.0,25894.0,0.10478861383934894,99.99978692618402,1.0,1.0,0.7666666666666667,21.0,129.0,,,0.719897938949524,2.140447495996341,0.5227543769979093,2.66320187299425,5123.462986457349,873.4245599489149,0.4238175047933458,1.4559072319301927,2.8803444624364305,0.9164,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,1,163429.0,83678.0,0.33863063369309654,99.99595159749634,1.0,1.0,0.7,25.0,150.0,,,0.41183900091863035,2.482969498996681,0.5170317909942241,3.000001289990905,5592.196458537614,966.277870983104,0.36299063862457337,1.447298492435422,2.715906909949942,0.9546,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,2,158309.0,88798.0,0.3593504028619181,99.994689544894,1.0,1.0,0.7266666666666667,13.0,81.0,,,0.45827864042702143,1.9327369599959638,0.5170687480022025,2.4498057079981663,5990.48234041277,1027.135317566822,0.3499579001793685,1.58458594798258,2.699715393067822,0.9666,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,3,221080.0,26027.0,0.10532684221814842,99.99977053589049,1.0,1.0,0.74,22.0,135.0,,,0.6950841538280988,2.4986750850002863,0.523914583005535,3.0225896680058213,4478.475558509985,894.6122964755492,0.3936814158451103,1.4664703361408729,2.689805481476069,0.9528,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,4,146209.0,100898.0,0.4083170448429223,99.9910181191417,1.0,1.0,0.6133333333333333,24.0,147.0,,,0.4828260632033896,2.706249918002868,0.5128531660047884,3.2191030840076564,5802.366832869775,1066.8931169451334,0.3663470934059669,1.6626023421974547,2.6011125926483967,0.9758,247107.0,247107.0
GP_Matern52_PI_GATE_4T2S,Imperfection-aware,0,200033.0,47074.0,0.1905004714556852,99.99842653182044,1.0,1.0,0.5666666666666667,19.0,117.0,,,0.6134805570056696,2.5770131229983235,0.4551292899886903,3.032142412987014,6751.032476366548,1186.3397985326783,0.3213612782626855,1.4783135082187266,2.654229472940322,0.9766,247107.0,247107.0
GP_Matern52_PI_GATE_4T2S,Imperfection-aware,1,220440.0,26667.0,0.10791681336425112,99.99965580383572,1.0,1.0,0.6133333333333333,13.0,81.0,,,0.6908066546071134,2.6650189150022925,0.4539327089987637,3.118951624001056,6374.8475922845555,1105.6519965939597,0.3626386887516708,1.6160956802123316,2.6245543169892764,0.983,247107.0,247107.0
GP_Matern52_PI_GATE_4T2S,Imperfection-aware,2,207331.0,39776.0,0.16096670673028282,99.99895102121363,1.0,1.0,0.6266666666666667,24.0,147.0,,,0.2742017830332609,3.0183494609882473,0.4732384190065204,3.4915878799947677,6188.954603057831,1045.6647592586164,0.24901721770271845,1.7808274488425109,2.7413829760997572,0.987,247107.0,247107.0
GP_Matern52_PI_GATE_4T2S,Imperfection-aware,3,159973.0,87134.0,0.3526164778820511,99.99554184015793,1.0,1.0,0.5666666666666667,15.0,93.0,,,0.45362867098058735,3.5959548739992897,0.4692375390040979,4.065192413003388,6208.928989712258,1082.1514456429989,0.23612300282678303,1.963231161550048,2.7482228251166356,0.9798,247107.0,247107.0
GP_Matern52_PI_GATE_4T2S,Imperfection-aware,4,156695.0,90412.0,0.3658819863459959,99.99421422638143,1.0,1.0,0.6066666666666667,16.0,99.0,,,0.5082508387055,2.794248083995626,0.4556643719988642,3.2499124559944903,7803.782377398349,1316.4759851896042,0.24372166605319043,1.9668738288753411,2.780207572703915,0.9804,247107.0,247107.0
