method,family,run,iteration,n_experiments,batch_size_added,best_q,best_pool_idx,simple_regret,normalized_regret,best_rank_percentile,hit_top1pct,hit_top0_1pct,success_fraction_selected,mean_q_selected,last_batch_best_q,mean_pairwise_batch_distance,fit_seconds,acq_seconds,cum_seconds,status,pool_oracle_best_q,full_grid_best_q,surrogate_rmse_raw,surrogate_mae_raw,surrogate_spearman_raw,surrogate_crps,surrogate_nll,surrogate_coverage95,surrogate_mean_sd,n_acq_candidates,n_trustworthy_candidates,n_suspicious_candidates,selected_trustworthy,selected_suspicious,requested_trustworthy,requested_suspicious,gate_fallback,fallback_slots,selected_suspicious_fraction
GP_Matern52_PI,Acquisition Ablation,0,0,3,3,0.0,2370341,247107.0,1.0,93.70319341923158,0.0,0.0,0.0,0.0,0.0,1.0123451313576954,0.0,0.0,0.0,initial,247107.0,247107.0,,,,,,,,0,,,0,3,,,False,,1.0
GP_Matern52_PI,Acquisition Ablation,0,1,6,3,0.0,2370341,247107.0,1.0,93.70319341923158,0.0,0.0,0.0,0.0,0.0,0.8380755797181075,0.00010895800005528145,0.004808541998500004,0.004917499998555286,constant_target_fallback,247107.0,247107.0,8794.15225607335,1574.217,0.0,0.8138185086950146,3.9690805000534337,0.9332,1.0,15000,3347.0,11653.0,0,3,,,False,,1.0
GP_Matern52_PI,Acquisition Ablation,0,2,9,3,12822.0,1560621,234285.0,0.9481115468197987,96.96140348116722,0.0,0.0,0.1111111111111111,1424.6666666666667,12822.0,0.9198783804508924,9.633299850975163e-05,0.005046499998570653,0.01006033299563569,constant_target_fallback,247107.0,247107.0,8794.15225607335,1574.217,0.0,0.8138185086950146,3.9690805000534337,0.9332,1.0,15000,3365.0,11635.0,1,2,,,False,,0.6666666666666666
GP_Matern52_PI,Acquisition Ablation,0,3,12,3,12822.0,1560621,234285.0,0.9481115468197987,96.96140348116722,0.0,0.0,0.08333333333333333,1068.5,0.0,0.5991789096033819,0.014929332999599865,0.007972250001330394,0.03296191599656595,ok,247107.0,247107.0,8991.797645982946,2196.483552623364,0.07404779132257312,1.9446813494446054,33.53025568497667,0.8234,1.4425157198681766,15000,3271.0,11729.0,2,1,,,False,,0.3333333333333333
GP_Matern52_PI,Acquisition Ablation,0,4,15,3,12822.0,1560621,234285.0,0.9481115468197987,96.96140348116722,0.0,0.0,0.06666666666666667,854.8,0.0,0.43788635811376525,0.01804870799969649,0.011721291997673688,0.06273191599393613,ok,247107.0,247107.0,8805.75084502448,1602.3644469018016,0.05665064757252059,1.2033415272648667,4.763915878767138,0.9196,2.501007520862105,15000,3365.0,11635.0,3,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,5,18,3,12822.0,1560621,234285.0,0.9481115468197987,96.96140348116722,0.0,0.0,0.05555555555555555,712.3333333333334,0.0,0.41393769576561823,0.021538083998166258,0.010151667000172893,0.09442166699227528,ok,247107.0,247107.0,8818.732132054634,1615.7691107148619,0.06327480679801498,1.0882818981069766,20.61099703671455,0.9296,2.2402675199327686,15000,3280.0,11720.0,1,2,,,False,,0.6666666666666666
GP_Matern52_PI,Acquisition Ablation,0,6,21,3,12822.0,1560621,234285.0,0.9481115468197987,96.96140348116722,0.0,0.0,0.09523809523809523,1164.5714285714287,11634.0,1.481177459630554,0.006484624998847721,0.010458834000019124,0.11136512599114212,ok,247107.0,247107.0,8794.015045962507,1574.810776785027,0.12807164878269772,1.0358520422940365,2.2994774642402462,0.9332,2.1666468437761663,15000,3415.0,11585.0,1,2,,,False,,0.6666666666666666
GP_Matern52_PI,Acquisition Ablation,0,7,24,3,17540.0,1552143,229567.0,0.9290186032771228,97.56931946845623,0.0,0.0,0.16666666666666666,2411.8333333333335,17540.0,0.3537213708759366,0.017559040999913123,0.011372208999091526,0.14029637599014677,ok,247107.0,247107.0,8890.413122421052,1852.520792323399,-0.07587602278497038,1.2606123870350279,47.485442384743756,0.8618,1.2794146373328021,15000,3306.0,11694.0,3,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,8,27,3,50062.0,1548903,197045.0,0.7974076007559479,99.31445958251956,1.0,0.0,0.25925925925925924,6778.407407407408,50062.0,0.3748437405544173,0.023370208000415005,0.007996000000275671,0.17166258399083745,ok,247107.0,247107.0,8556.232085007552,1541.6537985503144,0.3122000815976293,0.9154485625474114,8.356781473523915,0.9064,1.5513211843227268,15000,3463.0,11537.0,3,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,9,30,3,63196.0,1633385,183911.0,0.7442565366420215,99.61999104434362,1.0,0.0,0.26666666666666666,8207.1,63196.0,0.5931787839201701,0.0320486249984242,0.012295500000618631,0.21600670898988028,ok,247107.0,247107.0,8668.17988656446,1592.8478411650399,0.30836248703671365,1.0437116347462856,3.6597626157176237,0.9182,1.9521129294888881,15000,3378.0,11622.0,1,2,,,False,,0.6666666666666666
