split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
4,gp_m52_ei,GP M52 + EI,4,40,20,60,15,20,1.0,6,0.3,1.98497191156178,0.5070531245174026,10.380994213509265,3.7248953037817727,-0.1653786064593331,0
4,gp_m52_ei,GP M52 + EI,5,40,25,65,10,20,1.0,4,0.2,1.6164026298076462,0.2430641401829163,10.64742289992818,3.5734898851577506,-1.393204667269856,0
4,gp_m52_ei,GP M52 + EI,6,40,30,70,5,20,1.0,4,0.2,1.991438036104704,0.3996797975288464,10.64742289992818,3.9803418890307145,-0.9766030692400852,0
4,gp_m52_ei,GP M52 + EI,7,40,35,75,0,20,1.0,5,0.25,1.975898105369695,0.2759886267792302,10.64742289992818,3.971454849152912,-0.9743078898059948,0
4,pi_random_exploration,GP M52 PI + Random Exploration,0,40,0,40,35,20,1.0,11,0.55,2.650368935442265,1.1334825417152086,10.380994213509265,3.950784142942239,-1.0384936107254032,0
4,pi_random_exploration,GP M52 PI + Random Exploration,1,40,5,45,30,20,1.0,9,0.45,2.38311027203419,0.8671051583367193,10.380994213509265,3.8548251911811704,-0.5948027112733103,0
4,pi_random_exploration,GP M52 PI + Random Exploration,2,40,10,50,25,20,1.0,6,0.3,2.0503774597520676,0.6246714669583122,10.380994213509265,3.7627260994626024,-0.136915637999911,0
4,pi_random_exploration,GP M52 PI + Random Exploration,3,40,15,55,20,20,1.0,6,0.3,2.001061408223958,0.5134477147285601,10.380994213509265,3.7431520231351425,-0.0743180337721864,0
4,pi_random_exploration,GP M52 PI + Random Exploration,4,40,20,60,15,20,1.0,6,0.3,1.9669189384795829,0.4322312641159094,10.380994213509265,3.790516797194032,-0.0280515357072286,0
4,pi_random_exploration,GP M52 PI + Random Exploration,5,40,25,65,10,20,1.0,5,0.25,1.9855186473528073,0.4327106072470954,10.64742289992818,3.9285252041030567,-1.044796457639102,0
4,pi_random_exploration,GP M52 PI + Random Exploration,6,40,30,70,5,20,1.0,4,0.2,1.9679756733521132,0.3350919453776066,10.64742289992818,3.971348745447384,-1.0376272392665409,0
4,pi_random_exploration,GP M52 PI + Random Exploration,7,40,35,75,0,20,1.0,5,0.25,1.975898105369695,0.2759886267792302,10.64742289992818,3.971454849152912,-0.9743078898059948,0
4,pi_uncertainty,PI + Uncertainty,0,40,0,40,35,20,1.0,11,0.55,2.650368935442265,1.1334825417152086,10.380994213509265,3.950784142942239,-1.0384936107254032,0
4,pi_uncertainty,PI + Uncertainty,1,40,5,45,30,20,1.0,9,0.45,2.434077018449005,0.8580996089407424,10.380994213509265,3.9025920202349536,-0.6843760503631643,0
4,pi_uncertainty,PI + Uncertainty,2,40,10,50,25,20,1.0,7,0.35,2.085708703276877,0.553934586395088,10.380994213509265,3.765694434511348,-0.2893275967948215,0
4,pi_uncertainty,PI + Uncertainty,3,40,15,55,20,20,1.0,5,0.25,1.975548012171463,0.493713306807205,10.380994213509265,3.7532892784048393,-0.1014665271911524,0
4,pi_uncertainty,PI + Uncertainty,4,40,20,60,15,20,1.0,5,0.25,1.9799811904918947,0.3213571748278374,10.64742289992818,3.951831948658591,-0.9912927517766204,0
4,pi_uncertainty,PI + Uncertainty,5,40,25,65,10,20,1.0,4,0.2,1.616360914278823,0.3386842590432621,10.64742289992818,3.570380797384628,-1.3415400202566148,0
4,pi_uncertainty,PI + Uncertainty,6,40,30,70,5,20,1.0,4,0.2,1.991438036104704,0.3996797975288464,10.64742289992818,3.9803418890307145,-0.9766030692400852,0
4,pi_uncertainty,PI + Uncertainty,7,40,35,75,0,20,1.0,5,0.25,1.975898105369695,0.2759886267792302,10.64742289992818,3.971454849152912,-0.9743078898059948,0
4,imperfection_aware,Imperfection-aware,0,40,0,40,35,20,1.0,11,0.55,2.650368935442265,1.1334825417152086,10.380994213509265,3.950784142942239,-1.0384936107254032,0
4,imperfection_aware,Imperfection-aware,1,40,5,45,30,20,1.0,9,0.45,2.434077018449005,0.8580996089407424,10.380994213509265,3.9025920202349536,-0.6843760503631643,0
4,imperfection_aware,Imperfection-aware,2,40,10,50,25,20,1.0,7,0.35,2.085708703276877,0.553934586395088,10.380994213509265,3.765694434511348,-0.2893275967948215,0
4,imperfection_aware,Imperfection-aware,3,40,15,55,20,20,1.0,6,0.3,2.02850957487286,0.4258254075026846,10.64742289992818,3.968017706890784,-1.1222676564824188,0
4,imperfection_aware,Imperfection-aware,4,40,20,60,15,20,1.0,4,0.2,1.997358858489101,0.5837266720365548,10.64742289992818,3.9093614590187697,-1.0695223935213778,0
4,imperfection_aware,Imperfection-aware,5,40,25,65,10,20,1.0,5,0.25,1.98567113294257,0.2881683524599348,10.64742289992818,3.961278256971791,-0.9101063487535864,0
4,imperfection_aware,Imperfection-aware,6,40,30,70,5,20,1.0,5,0.25,2.001948975347649,0.3626301175703244,10.64742289992818,3.980852033813845,-0.9669483606525358,0
4,imperfection_aware,Imperfection-aware,7,40,35,75,0,20,1.0,5,0.25,1.975898105369695,0.2759886267792302,10.64742289992818,3.971454849152912,-0.9743078898059948,1
5,random,Random,0,40,0,40,35,20,1.0,8,0.4,2.3805634497292716,0.8535804420898625,10.380994213509265,3.897358188487214,-1.3958994107095362,0
5,random,Random,1,40,5,45,30,20,1.0,9,0.45,2.4371204168207674,0.849378656129689,10.380994213509265,3.896716873715645,-1.455279376170846,0
5,random,Random,2,40,10,50,25,20,1.0,12,0.6,2.8335141807099244,1.136441421663358,10.380994213509265,4.277743976344361,-2.8335141807099244,0
5,random,Random,3,40,15,55,20,20,1.0,11,0.55,2.665401133607775,1.0889589067809595,10.380994213509265,4.216409866066032,-2.665401133607775,0
5,random,Random,4,40,20,60,15,20,1.0,8,0.4,2.5060364547029796,0.60629883957224,10.380994213509265,4.174792005938479,-2.5060364547029796,0
5,random,Random,5,40,25,65,10,20,1.0,9,0.45,2.5610898521635184,0.5785451001292365,10.380994213509265,4.20321815756267,-2.5281445821295434,0
5,random,Random,6,40,30,70,5,20,1.0,8,0.4,2.2900981559516667,0.4965244686035173,10.380994213509265,3.9301045190627866,-2.190594351384404,0
5,random,Random,7,40,35,75,0,20,1.0,8,0.4,2.291432097294126,0.585551628329755,10.380994213509265,3.929773618000296,-2.17353896694313,0
5,gp_m52_pi,GP M52 + PI,0,40,0,40,35,20,1.0,8,0.4,2.3805634497292716,0.8535804420898625,10.380994213509265,3.897358188487214,-1.3958994107095362,0
5,gp_m52_pi,GP M52 + PI,1,40,5,45,30,20,1.0,9,0.45,2.3222380130810873,0.7875143574507124,10.380994213509265,3.875021511922851,-1.3979611546933426,0
5,gp_m52_pi,GP M52 + PI,2,40,10,50,25,20,1.0,9,0.45,2.2730622839088,0.8288643488917806,10.380994213509265,3.892156318980003,-1.2180645162783807,0
5,gp_m52_pi,GP M52 + PI,3,40,15,55,20,20,1.0,7,0.35,2.1443755793411405,0.5069751070424493,10.380994213509265,3.83426190228901,-1.1959067474991998,0
5,gp_m52_pi,GP M52 + PI,4,40,20,60,15,20,1.0,9,0.45,2.577144187852487,0.6587834354534623,10.380994213509265,4.2008548234367495,-2.5388143312233704,0
5,gp_m52_pi,GP M52 + PI,5,40,25,65,10,20,1.0,9,0.45,2.624554747238263,0.6362368218005985,10.380994213509265,4.231573427985657,-2.605470758174178,0
5,gp_m52_pi,GP M52 + PI,6,40,30,70,5,20,1.0,9,0.45,2.6261733872268773,0.6940842254302835,10.380994213509265,4.222996501165445,-2.5787131918061323,0
5,gp_m52_pi,GP M52 + PI,7,40,35,75,0,20,1.0,8,0.4,2.291432097294126,0.585551628329755,10.380994213509265,3.929773618000296,-2.17353896694313,0
5,gp_m52_ei,GP M52 + EI,0,40,0,40,35,20,1.0,8,0.4,2.3805634497292716,0.8535804420898625,10.380994213509265,3.897358188487214,-1.3958994107095362,0
5,gp_m52_ei,GP M52 + EI,1,40,5,45,30,20,1.0,6,0.3,2.17178795233983,0.714951170424273,10.380994213509265,3.8036668881865,-2.076812493937054,0
5,gp_m52_ei,GP M52 + EI,2,40,10,50,25,20,1.0,7,0.35,2.2207503400801314,0.6703029621294387,10.380994213509265,3.837858805410375,-1.219222791460264,0
5,gp_m52_ei,GP M52 + EI,3,40,15,55,20,20,1.0,6,0.3,2.103959381739353,0.4596725336020926,10.380994213509265,3.800220012801416,-1.150196231139844,0
5,gp_m52_ei,GP M52 + EI,4,40,20,60,15,20,1.0,9,0.45,2.566683488043936,0.5732903816998274,10.380994213509265,4.203260399376557,-2.511600402802121,0
5,gp_m52_ei,GP M52 + EI,5,40,25,65,10,20,1.0,9,0.45,2.6131792715960436,0.6741278011203091,10.380994213509265,4.2118013803823775,-2.5443970319265334,0
