split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
3,random,Random,0,40,0,40,35,20,1.0,9,0.45,2.4610416998214215,0.6974652929962266,10.793454842740767,4.335910128208324,-2.265616117922365,0
3,random,Random,1,40,5,45,30,20,1.0,9,0.45,1.9757788307272506,0.7459994851935905,10.660501153424487,3.5225331214281037,-1.0399783712030501,0
3,random,Random,2,40,10,50,25,20,1.0,9,0.45,1.5561732458875377,0.8370431490764156,7.716460800176355,2.6365069546003204,-0.6520744104199467,0
3,random,Random,3,40,15,55,20,20,1.0,9,0.45,1.999529267930226,0.809214275185572,10.660501153424487,3.542443397025075,-1.0798543069926971,0
3,random,Random,4,40,20,60,15,20,1.0,8,0.4,1.0992937084391248,0.7515021600201859,7.716460800176355,1.9976218420152438,-0.8491341403339309,0
3,random,Random,5,40,25,65,10,20,1.0,8,0.4,1.1558985558949069,0.7855470659095953,7.716460800176355,2.054262329787691,-0.9203364330568888,0
3,random,Random,6,40,30,70,5,20,1.0,9,0.45,1.537175656406021,0.7606740787256125,8.100464891029363,2.7452753741076465,-1.3569199453174847,0
3,random,Random,7,40,35,75,0,20,1.0,8,0.4,1.1291892838173687,0.6433226920346757,7.716460800176355,2.0343124267010766,-0.9610849918413351,0
3,gp_m52_pi,GP M52 + PI,0,40,0,40,35,20,1.0,9,0.45,2.4610416998214215,0.6974652929962266,10.793454842740767,4.335910128208324,-2.265616117922365,0
3,gp_m52_pi,GP M52 + PI,1,40,5,45,30,20,1.0,9,0.45,2.449528505257144,0.6543290244186402,10.793454842740767,4.333403565548719,-2.250465854903804,0
3,gp_m52_pi,GP M52 + PI,2,40,10,50,25,20,1.0,8,0.4,2.0113642866513173,0.4017697170604686,10.793454842740767,3.9206987654152985,-1.8183903380070205,0
3,gp_m52_pi,GP M52 + PI,3,40,15,55,20,20,1.0,8,0.4,1.9204447556609803,0.6511681918628476,10.660501153424487,3.5091189013921427,-0.9395399702157883,0
3,gp_m52_pi,GP M52 + PI,4,40,20,60,15,20,1.0,9,0.45,1.9941914915701375,0.6940299400566907,10.660501153424487,3.620939529741501,-1.7894012900690712,0
3,gp_m52_pi,GP M52 + PI,5,40,25,65,10,20,1.0,9,0.45,2.365124715369208,0.6845379773417513,10.793454842740767,4.2921660033790205,-2.1945338701454005,0
3,gp_m52_pi,GP M52 + PI,6,40,30,70,5,20,1.0,9,0.45,2.0312501907073455,0.7668908963520504,10.660501153424487,3.632891629631099,-1.846209218505928,0
