split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
13,random,Random,0,40,0,40,35,20,1.0,8,0.4,1.8810124501768928,0.30215961270226277,10.647422899928179,3.5439472270678354,-1.8664034671520355,0
13,random,Random,1,40,5,45,30,20,1.0,9,0.45,1.936945054717237,0.4079520014605089,10.647422899928179,3.552500789173481,-1.9311569420146841,0
13,random,Random,2,40,10,50,25,20,1.0,8,0.4,1.8838121641252275,0.31381546303804786,10.647422899928179,3.5322823207659986,-1.8784220203088478,0
13,random,Random,3,40,15,55,20,20,1.0,8,0.4,1.8708932938970957,0.2410535765898114,10.647422899928179,3.525373777954996,-1.8317115787379161,0
13,random,Random,4,40,20,60,15,20,1.0,8,0.4,1.7522380133867528,0.512251263407105,10.647422899928179,3.319633518677823,-1.4232729526834267,0
13,random,Random,5,40,25,65,10,20,1.0,7,0.35,2.1117944884951023,0.39876532630599293,10.647422899928179,4.006464193336838,-1.8757866719768508,0
13,random,Random,6,40,30,70,5,20,1.0,8,0.4,1.6664406551419855,0.16323859895844528,10.647422899928179,3.2969104610576867,-1.3524371405503834,0
13,random,Random,7,40,35,75,0,20,1.0,8,0.4,1.7467207380439056,0.2458711646192855,10.647422899928179,3.3610253276193673,-1.2824762764937414,0
13,gp_m52_pi,GP M52 + PI,0,40,0,40,35,20,1.0,8,0.4,1.8810124501768928,0.30215961270226277,10.647422899928179,3.5439472270678354,-1.8664034671520355,0
13,gp_m52_pi,GP M52 + PI,1,40,5,45,30,20,1.0,8,0.4,1.8914847581762355,0.3367746945673309,10.647422899928179,3.5275783068009114,-1.826971374626321,0
13,gp_m52_pi,GP M52 + PI,2,40,10,50,25,20,1.0,9,0.45,1.859859338653428,0.33360044839209646,10.647422899928179,3.5147081000243343,-1.7856552185273735,0
13,gp_m52_pi,GP M52 + PI,3,40,15,55,20,20,1.0,9,0.45,2.0689113050891335,0.35060112850533187,10.647422899928179,3.618183913893626,-1.9865875071025865,0
13,gp_m52_pi,GP M52 + PI,4,40,20,60,15,20,1.0,9,0.45,1.9915554676833787,0.30847341210684043,10.647422899928179,3.576214459441186,-1.9148859741930004,0
13,gp_m52_pi,GP M52 + PI,5,40,25,65,10,20,1.0,9,0.45,1.8268732817203983,0.17914279970476343,10.647422899928179,3.3894712220114727,-1.6262483292999708,0
13,gp_m52_pi,GP M52 + PI,6,40,30,70,5,20,1.0,9,0.45,1.7194808259894725,0.26220172459284896,10.647422899928179,3.311362415177561,-1.3830238283203407,0
13,gp_m52_pi,GP M52 + PI,7,40,35,75,0,20,1.0,8,0.4,1.7467207380439056,0.2458711646192855,10.647422899928179,3.3610253276193673,-1.2824762764937414,0
13,gp_m52_ei,GP M52 + EI,0,40,0,40,35,20,1.0,8,0.4,1.8810124501768928,0.30215961270226277,10.647422899928179,3.5439472270678354,-1.8664034671520355,0
13,gp_m52_ei,GP M52 + EI,1,40,5,45,30,20,1.0,7,0.35,1.8713462288691673,0.27690587129947986,10.647422899928179,3.5350606923851737,-1.8259108462531786,0
13,gp_m52_ei,GP M52 + EI,2,40,10,50,25,20,1.0,8,0.4,1.8769795047816742,0.29006387824419555,10.647422899928179,3.5272860827403134,-1.8143960134480348,0
13,gp_m52_ei,GP M52 + EI,3,40,15,55,20,20,1.0,8,0.4,1.9244295313962378,0.3394915335640709,10.647422899928179,3.5466582798665844,-1.8494274486395548,0
13,gp_m52_ei,GP M52 + EI,4,40,20,60,15,20,1.0,9,0.45,2.0632400929903207,0.29387473935280894,10.647422899928179,3.623210040463099,-2.003903939349096,0
13,gp_m52_ei,GP M52 + EI,5,40,25,65,10,20,1.0,9,0.45,1.7974392184465888,0.3154598630105099,10.647422899928179,3.346765787838538,-1.5731294952983474,0
