split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
11,random,Random,0,40,0,40,35,20,1.0,7,0.35,2.2772727530066734,0.2531398711802195,11.953828499481324,4.508572094227661,-2.1137048665423754,0
11,random,Random,1,40,5,45,30,20,1.0,6,0.3,1.385896233758152,0.13529333282691702,10.380994213509263,2.857840209953111,-1.3256027331605256,0
11,random,Random,2,40,10,50,25,20,1.0,6,0.3,1.2384846069310673,0.13158440447005493,10.380994213509263,2.7586848748216086,-1.1703811003406916,0
11,random,Random,3,40,15,55,20,20,1.0,4,0.2,1.225159458399506,0.24238917243663494,10.380994213509263,2.7288797394657456,-1.0143448006221238,0
11,random,Random,4,40,20,60,15,20,1.0,4,0.2,1.2193017839468783,0.23443826791652445,10.380994213509263,2.7306256265483375,-1.0390140911328438,0
11,random,Random,5,40,25,65,10,20,1.0,4,0.2,1.1728914812424382,0.34416902203129496,10.380994213509263,2.691915581222894,-1.0140746955471875,0
11,random,Random,6,40,30,70,5,20,1.0,4,0.2,1.1486468434005535,0.2769008352342981,10.380994213509263,2.6921696267839854,-0.9702698968107935,0
11,random,Random,7,40,35,75,0,20,1.0,3,0.15,1.1728138941226245,0.41135290773698774,10.380994213509263,2.6911042884608825,-1.0483531520267015,0
11,gp_m52_pi,GP M52 + PI,0,40,0,40,35,20,1.0,7,0.35,2.2772727530066734,0.2531398711802195,11.953828499481324,4.508572094227661,-2.1137048665423754,0
11,gp_m52_pi,GP M52 + PI,1,40,5,45,30,20,1.0,7,0.35,2.2511652635076747,0.14342630969986914,11.953828499481324,4.511591744191117,-2.0753619639350824,0
11,gp_m52_pi,GP M52 + PI,2,40,10,50,25,20,1.0,7,0.35,2.2860680272393807,0.15051168334764142,11.953828499481324,4.515363934737374,-2.0765873680597613,0
11,gp_m52_pi,GP M52 + PI,3,40,15,55,20,20,1.0,7,0.35,2.204018415200502,0.09635326031958868,11.953828499481324,4.494542598256594,-2.0214884821603234,0
11,gp_m52_pi,GP M52 + PI,4,40,20,60,15,20,1.0,7,0.35,1.4157306547826454,0.4128186705686474,10.380994213509263,2.8438742248276636,-1.29998883368462,0
11,gp_m52_pi,GP M52 + PI,5,40,25,65,10,20,1.0,6,0.3,1.2972555488255957,0.12585842306783768,10.380994213509263,2.801016839877427,-1.2139901508598758,0
11,gp_m52_pi,GP M52 + PI,6,40,30,70,5,20,1.0,4,0.2,1.7025570176330074,0.3734607673114878,10.729284487191537,3.6404168735539835,-1.5373281379138442,0
11,gp_m52_pi,GP M52 + PI,7,40,35,75,0,20,1.0,3,0.15,1.1728138941226245,0.41135290773698774,10.380994213509263,2.6911042884608825,-1.0483531520267015,0
11,gp_m52_ei,GP M52 + EI,0,40,0,40,35,20,1.0,7,0.35,2.2772727530066734,0.2531398711802195,11.953828499481324,4.508572094227661,-2.1137048665423754,0
11,gp_m52_ei,GP M52 + EI,1,40,5,45,30,20,1.0,7,0.35,1.8291698783019648,0.23368608668482427,11.953828499481324,3.841273600986701,-1.6040493437582106,0
11,gp_m52_ei,GP M52 + EI,2,40,10,50,25,20,1.0,6,0.3,2.2293945628027703,0.3300324560667729,11.953828499481324,4.490856517817586,-2.167589862695675,0
11,gp_m52_ei,GP M52 + EI,3,40,15,55,20,20,1.0,7,0.35,2.2193291907798787,0.09576598960396598,11.953828499481324,4.494319545367348,-2.0407744786794413,0
11,gp_m52_ei,GP M52 + EI,4,40,20,60,15,20,1.0,7,0.35,1.4157306547826454,0.4128186705686474,10.380994213509263,2.8438742248276636,-1.29998883368462,0
11,gp_m52_ei,GP M52 + EI,5,40,25,65,10,20,1.0,6,0.3,1.318845304745997,0.17103871297247686,10.380994213509263,2.814646018452167,-1.2112403072562228,0
11,gp_m52_ei,GP M52 + EI,6,40,30,70,5,20,1.0,4,0.2,1.213200516278266,0.3349653816088578,10.380994213509263,2.7145233277318837,-1.0649011281706906,0
11,gp_m52_ei,GP M52 + EI,7,40,35,75,0,20,1.0,3,0.15,1.1728138941226245,0.41135290773698774,10.380994213509263,2.6911042884608825,-1.0483531520267015,0
11,pi_random_exploration,GP M52 PI + Random Exploration,0,40,0,40,35,20,1.0,7,0.35,2.2772727530066734,0.2531398711802195,11.953828499481324,4.508572094227661,-2.1137048665423754,0
11,pi_random_exploration,GP M52 PI + Random Exploration,1,40,5,45,30,20,1.0,7,0.35,1.426922673455195,0.2461566564718618,10.380994213509263,2.887020006105573,-1.2737392940875225,0
11,pi_random_exploration,GP M52 PI + Random Exploration,2,40,10,50,25,20,1.0,7,0.35,1.3659052997123042,0.2639007262038149,10.380994213509263,2.8243212432362412,-1.2108787483076375,0
11,pi_random_exploration,GP M52 PI + Random Exploration,3,40,15,55,20,20,1.0,7,0.35,1.3154164876920487,0.10784445912550389,10.380994213509263,2.7924630486034685,-1.1420021037195405,0
11,pi_random_exploration,GP M52 PI + Random Exploration,4,40,20,60,15,20,1.0,5,0.25,1.2867082594869004,0.27694117145998565,10.380994213509263,2.778608940956513,-1.006056723989708,0
11,pi_random_exploration,GP M52 PI + Random Exploration,5,40,25,65,10,20,1.0,4,0.2,1.220593051560943,0.2218457129757727,10.380994213509263,2.7637660345984507,-1.0697372428453427,0
11,pi_random_exploration,GP M52 PI + Random Exploration,6,40,30,70,5,20,1.0,4,0.2,1.2251729965811318,0.2092888697474251,10.380994213509263,2.7713121254772872,-1.088654782316207,0
11,pi_random_exploration,GP M52 PI + Random Exploration,7,40,35,75,0,20,1.0,3,0.15,1.1728138941226245,0.41135290773698774,10.380994213509263,2.6911042884608825,-1.0483531520267015,0
