split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
2,random,Random,0,40,0,40,35,20,1.0,9,0.45,2.0590723241109727,0.6550170148548045,10.856476588192956,3.8235333016536517,-1.9025976354317347,0
2,random,Random,1,40,5,45,30,20,1.0,8,0.4,1.8453588147939797,0.1885430971704425,10.856476588192956,3.738017901974814,-1.6511243983769153,0
2,random,Random,2,40,10,50,25,20,1.0,8,0.4,1.3785116311087926,0.18229866808316242,10.856476588192956,2.87039383983227,-1.2000710485703536,0
2,random,Random,3,40,15,55,20,20,1.0,8,0.4,2.1815445179112265,0.3835235023036727,10.856476588192956,4.047885283780009,-2.1375199595275216,0
2,random,Random,4,40,20,60,15,20,1.0,8,0.4,2.1320225271068094,0.4609733549256285,10.856476588192956,4.023095198139642,-2.1117747799611504,0
2,random,Random,5,40,25,65,10,20,1.0,7,0.35,2.9908313148467807,0.46455910635268616,10.856476588192956,5.1667550434222695,-2.9714120912919704,0
2,random,Random,6,40,30,70,5,20,1.0,6,0.3,1.6163687939423503,0.4425930789654373,10.856476588192956,3.207158977263867,-1.583930417476124,0
2,random,Random,7,40,35,75,0,20,1.0,5,0.25,1.5335498818475581,0.2991036855828453,10.856476588192956,3.1772586821690507,-1.48623660770601,0
2,gp_m52_pi,GP M52 + PI,0,40,0,40,35,20,1.0,9,0.45,2.0590723241109727,0.6550170148548045,10.856476588192956,3.8235333016536517,-1.9025976354317347,0
2,gp_m52_pi,GP M52 + PI,1,40,5,45,30,20,1.0,8,0.4,1.954449620274152,0.4192874341501307,10.856476588192956,3.7847621090350527,-1.7375575019773901,0
2,gp_m52_pi,GP M52 + PI,2,40,10,50,25,20,1.0,8,0.4,1.93775938425946,0.39685194996671136,10.856476588192956,3.77573709488514,-1.7382162894542774,0
2,gp_m52_pi,GP M52 + PI,3,40,15,55,20,20,1.0,9,0.45,2.3707082243290984,0.5055107388013891,10.856476588192956,4.364175791737937,-2.1277489181383142,0
2,gp_m52_pi,GP M52 + PI,4,40,20,60,15,20,1.0,7,0.35,2.217901367916213,0.5426546629947726,10.856476588192956,4.023649941599063,-2.1981346640991144,0
2,gp_m52_pi,GP M52 + PI,5,40,25,65,10,20,1.0,6,0.3,2.524106552847736,0.48173599318391247,10.856476588192956,4.620670533392808,-2.4778963502853424,0
2,gp_m52_pi,GP M52 + PI,6,40,30,70,5,20,1.0,6,0.3,2.4698174867980316,0.24507770960781183,10.856476588192956,4.6115072931532035,-2.4273598494553634,0
2,gp_m52_pi,GP M52 + PI,7,40,35,75,0,20,1.0,5,0.25,1.5335498818475581,0.2991036855828453,10.856476588192956,3.1772586821690507,-1.48623660770601,0
2,gp_m52_ei,GP M52 + EI,0,40,0,40,35,20,1.0,9,0.45,2.0590723241109727,0.6550170148548045,10.856476588192956,3.8235333016536517,-1.9025976354317347,0
2,gp_m52_ei,GP M52 + EI,1,40,5,45,30,20,1.0,8,0.4,2.8807362766983835,0.4193429802580839,10.856476588192956,5.018981031592813,-2.680970034673361,0
2,gp_m52_ei,GP M52 + EI,2,40,10,50,25,20,1.0,8,0.4,2.3220225221447817,0.3675497799736389,10.856476588192956,4.352818206724459,-2.0755515149037995,0
