split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
15,random,Random,0,40,0,40,35,20,1.0,4,0.2,0.8397025364797954,0.40886944889101784,8.09346227450118,1.9197143548139768,0.3118173590987164,0
15,random,Random,1,40,5,45,30,20,1.0,3,0.15,0.7816101510057043,0.3202625157539476,7.785305182539862,1.842814715181293,0.3160930706090384,0
15,random,Random,2,40,10,50,25,20,1.0,2,0.1,0.6834316358964841,0.274220767838508,7.29505641646263,1.7027018753136252,0.29914810976194134,0
15,random,Random,3,40,15,55,20,20,1.0,1,0.05,0.28839310843696375,0.10420184496766893,1.6242551295042675,0.49236148163650034,-0.024688028260498696,0
15,random,Random,4,40,20,60,15,20,1.0,1,0.05,0.29248858231795966,0.17224330012713018,1.6087130120761524,0.47216645899036086,0.03524099235658116,0
15,random,Random,5,40,25,65,10,20,1.0,1,0.05,0.3026309124296866,0.13377543755378696,1.6027489242833033,0.4936487820734399,-0.009764972985458397,0
15,random,Random,6,40,30,70,5,20,1.0,1,0.05,0.2818561871487343,0.11809817769802589,1.8772499640144575,0.5090504903543163,0.06955819422062084,0
15,random,Random,7,40,35,75,0,20,1.0,1,0.05,0.30489697411496486,0.18860490413364772,2.004803886347898,0.5375806359285054,0.06235988585397458,0
15,gp_m52_pi,GP M52 + PI,0,40,0,40,35,20,1.0,4,0.2,0.8397025364797954,0.40886944889101784,8.09346227450118,1.9197143548139768,0.3118173590987164,0
15,gp_m52_pi,GP M52 + PI,1,40,5,45,30,20,1.0,2,0.1,0.7013321258976044,0.34588859919329806,7.358193752733032,1.7191027474550338,0.3624494434659032,0
15,gp_m52_pi,GP M52 + PI,2,40,10,50,25,20,1.0,1,0.05,0.3202241698843381,0.1982344263221547,1.5304574423188013,0.5017473649783133,-0.08912705070222163,0
15,gp_m52_pi,GP M52 + PI,3,40,15,55,20,20,1.0,1,0.05,0.27087513345111786,0.07638932180641778,1.5847887771594467,0.46800948558328703,0.028459053642485042,0
15,gp_m52_pi,GP M52 + PI,4,40,20,60,15,20,1.0,2,0.1,0.33593764644782687,0.10910115559619271,1.6422277352570918,0.5569316692328653,-0.038252901582119095,0
15,gp_m52_pi,GP M52 + PI,5,40,25,65,10,20,1.0,1,0.05,0.3055255534204242,0.20424772804190106,1.5920410845325916,0.4949349760823342,0.02003282444587291,0
15,gp_m52_pi,GP M52 + PI,6,40,30,70,5,20,1.0,1,0.05,0.30315479286874614,0.1961481567776584,1.7972996496036702,0.506776498171021,0.06776417936353404,0
15,gp_m52_pi,GP M52 + PI,7,40,35,75,0,20,1.0,1,0.05,0.30489697411496486,0.18860490413364772,2.004803886347898,0.5375806359285054,0.06235988585397458,0
15,gp_m52_ei,GP M52 + EI,0,40,0,40,35,20,1.0,4,0.2,0.8397025364797954,0.40886944889101784,8.09346227450118,1.9197143548139768,0.3118173590987164,0
15,gp_m52_ei,GP M52 + EI,1,40,5,45,30,20,1.0,2,0.1,0.33539274948228226,0.28308911915312596,1.412223395310856,0.5004790048829547,-0.01014048913143637,0
15,gp_m52_ei,GP M52 + EI,2,40,10,50,25,20,1.0,2,0.1,0.33441234248679863,0.08825190589673504,1.8997252837976442,0.5937677679243674,-0.028433265154139555,0
15,gp_m52_ei,GP M52 + EI,3,40,15,55,20,20,1.0,2,0.1,0.3298401069774417,0.0863292257717756,1.8876184663448763,0.6018634493650472,-0.013935066333725788,0
15,gp_m52_ei,GP M52 + EI,4,40,20,60,15,20,1.0,1,0.05,0.32671898403969596,0.1745246068525308,1.8053145259315775,0.5333896261220342,0.027404330538294497,0
15,gp_m52_ei,GP M52 + EI,5,40,25,65,10,20,1.0,1,0.05,0.32660170860690757,0.17667455609967586,1.7292157365644423,0.5236087458037959,0.017643662254151104,0
15,gp_m52_ei,GP M52 + EI,6,40,30,70,5,20,1.0,1,0.05,0.30046933713183044,0.18919887114414635,1.8826682334761697,0.5219089344055697,0.04955424812613605,0
15,gp_m52_ei,GP M52 + EI,7,40,35,75,0,20,1.0,1,0.05,0.30489697411496486,0.18860490413364772,2.004803886347898,0.5375806359285054,0.06235988585397458,0
15,pi_random_exploration,GP M52 PI + Random Exploration,0,40,0,40,35,20,1.0,4,0.2,0.8397025364797954,0.40886944889101784,8.09346227450118,1.9197143548139768,0.3118173590987164,0
15,pi_random_exploration,GP M52 PI + Random Exploration,1,40,5,45,30,20,1.0,2,0.1,0.7213833855783116,0.38773718162327686,7.820439515262181,1.8152354940147992,0.3984433439435239,0
15,pi_random_exploration,GP M52 PI + Random Exploration,2,40,10,50,25,20,1.0,1,0.05,0.32694421496114445,0.18512618461043662,1.733321464682482,0.5262715958631037,-0.037674306956697066,0
15,pi_random_exploration,GP M52 PI + Random Exploration,3,40,15,55,20,20,1.0,2,0.1,0.35652578145018715,0.16031380286447128,1.8861909143536915,0.5948167639120117,-0.004288606576970144,0
15,pi_random_exploration,GP M52 PI + Random Exploration,4,40,20,60,15,20,1.0,2,0.1,0.3463904786498016,0.20349359029126468,2.1802536856817722,0.6075708786228875,0.04699694462770991,0
15,pi_random_exploration,GP M52 PI + Random Exploration,5,40,25,65,10,20,1.0,1,0.05,0.3087426220537802,0.1892044700793365,2.1581455610677756,0.5645248113416031,0.08186042143403297,0
15,pi_random_exploration,GP M52 PI + Random Exploration,6,40,30,70,5,20,1.0,1,0.05,0.2911914858393513,0.15683920756655123,2.128662944805453,0.548852182083379,0.09042509509926781,0
15,pi_random_exploration,GP M52 PI + Random Exploration,7,40,35,75,0,20,1.0,1,0.05,0.30489697411496486,0.18860490413364772,2.004803886347898,0.5375806359285054,0.06235988585397458,0
15,pi_uncertainty,PI + Uncertainty,0,40,0,40,35,20,1.0,4,0.2,0.8397025364797954,0.40886944889101784,8.09346227450118,1.9197143548139768,0.3118173590987164,0
15,pi_uncertainty,PI + Uncertainty,1,40,5,45,30,20,1.0,4,0.2,0.7654670706513478,0.33006682702069323,7.75491027202143,1.8250832949317934,0.32023712296895435,0
15,pi_uncertainty,PI + Uncertainty,2,40,10,50,25,20,1.0,1,0.05,0.31536119256726114,0.21245614713890948,1.7357512887566644,0.5216270449862627,-0.01801897587358714,0
15,pi_uncertainty,PI + Uncertainty,3,40,15,55,20,20,1.0,2,0.1,0.33829101299199854,0.18840017975525747,1.8080511568262407,0.5646231088438531,0.01728442602569751,0
15,pi_uncertainty,PI + Uncertainty,4,40,20,60,15,20,1.0,1,0.05,0.29778731214484877,0.14875563578245288,1.958869293697819,0.5300989995046078,0.03879474978272932,0
15,pi_uncertainty,PI + Uncertainty,5,40,25,65,10,20,1.0,1,0.05,0.30142778197490905,0.18313958027978217,1.733833497463766,0.5024241832972873,0.04028091472078086,0
15,pi_uncertainty,PI + Uncertainty,6,40,30,70,5,20,1.0,1,0.05,0.3102128867288484,0.2160514599488561,1.8086450868787418,0.5144724431727833,0.06127936075379083,0
15,pi_uncertainty,PI + Uncertainty,7,40,35,75,0,20,1.0,1,0.05,0.30489697411496486,0.18860490413364772,2.004803886347898,0.5375806359285054,0.06235988585397458,0
15,imperfection_aware,Imperfection-aware,0,40,0,40,35,20,1.0,4,0.2,0.8397025364797954,0.40886944889101784,8.09346227450118,1.9197143548139768,0.3118173590987164,0
15,imperfection_aware,Imperfection-aware,1,40,5,45,30,20,1.0,4,0.2,0.7654670706513478,0.33006682702069323,7.75491027202143,1.8250832949317934,0.32023712296895435,0
15,imperfection_aware,Imperfection-aware,2,40,10,50,25,20,1.0,1,0.05,0.3233555311597305,0.18511148739911043,1.893962832407694,0.5453020385049857,0.04639729598333999,0
15,imperfection_aware,Imperfection-aware,3,40,15,55,20,20,1.0,1,0.05,0.308173523737587,0.23765056051284272,1.8817856208857746,0.5180154368515185,0.07169479729971058,0
15,imperfection_aware,Imperfection-aware,4,40,20,60,15,20,1.0,1,0.05,0.2963090995202386,0.16178768954420786,1.7984999858418975,0.5040166662450886,0.04483448105228534,0
15,imperfection_aware,Imperfection-aware,5,40,25,65,10,20,1.0,1,0.05,0.2954868857091481,0.24858054230378546,1.8739181084221483,0.5062244313662889,0.08444570128703836,0
15,imperfection_aware,Imperfection-aware,6,40,30,70,5,20,1.0,1,0.05,0.325824335740592,0.18779969450660783,2.1095981671593433,0.5724668095585573,0.04185004383569413,0
15,imperfection_aware,Imperfection-aware,7,40,35,75,0,20,1.0,1,0.05,0.30489697411496486,0.18860490413364772,2.004803886347898,0.5375806359285054,0.06235988585397458,1
