method,method_label,round,catastrophic_error_rate_mean,catastrophic_error_rate_std,catastrophic_error_rate_sem,n_catastrophic_errors_mean,n_catastrophic_errors_std,n_catastrophic_errors_sem,mean_abs_log_error_mean,mean_abs_log_error_std,mean_abs_log_error_sem,median_abs_log_error_mean,median_abs_log_error_std,median_abs_log_error_sem,max_abs_log_error_mean,max_abs_log_error_std,max_abs_log_error_sem,rmse_log_error_mean,rmse_log_error_std,rmse_log_error_sem,signed_log_error_mean_mean,signed_log_error_mean_std,signed_log_error_mean_sem,gate_fallback_count_mean,gate_fallback_count_max,catastrophic_error_rate_ci95_low,catastrophic_error_rate_ci95_high,n_catastrophic_errors_ci95_low,n_catastrophic_errors_ci95_high,mean_abs_log_error_ci95_low,mean_abs_log_error_ci95_high,median_abs_log_error_ci95_low,median_abs_log_error_ci95_high,max_abs_log_error_ci95_low,max_abs_log_error_ci95_high,rmse_log_error_ci95_low,rmse_log_error_ci95_high,signed_log_error_mean_ci95_low,signed_log_error_mean_ci95_high,error_auc_mean,error_auc_std,error_auc_sem,error_auc_ci95_low,error_auc_ci95_high
random,Random,0,0.54625,0.14356252076506967,0.03210155554519208,21.85,5.742500830602785,1.2840622218076831,3.43349299035564,1.7482571420310296,0.3909221811730887,2.389022915360055,3.1346350058641166,0.7009256957762616,11.287916614224802,0.6453030452212005,0.14429414752022257,5.140641347079233,1.7127948199087066,0.38299256488253786,-2.1124970176890843,2.625436642405041,0.5870654803036477,0.0,0,0.48333095113142355,0.6091690488685765,19.33323804525694,24.366761954743062,2.667285515256386,4.199700465454894,1.0152085516385823,3.762837279081528,11.005100085085166,11.570733143364437,4.3899759199094595,5.891306774249007,-3.2631453590842336,-0.9618486762939349,0.39484375,0.08998626425701986,0.0201215403919956,0.35540553083168863,0.43428196916831135
random,Random,1,0.5,0.15325417483795722,0.03426867527733101,20.0,6.130166993518289,1.3707470110932407,3.0463585516958793,1.4311201181002986,0.3200081868039795,1.5918083466971313,2.2387581867593074,0.500601549077798,11.20792353023577,0.8705183344411457,0.1946538171470298,4.812157039908642,1.564525763514518,0.3498385959768222,-2.166209789824739,2.1034756394807426,0.47035145188937794,0.0,0,0.4328333964564312,0.5671666035435687,17.313335858257247,22.686664141742753,2.4191425055600795,3.673574597831679,0.6106293105046473,2.5729873828896155,10.82640204862759,11.589445011843948,4.12647339179407,5.497840688023214,-3.08809863552792,-1.2443209441215584,0.39484375,0.08998626425701986,0.0201215403919956,0.35540553083168863,0.43428196916831135
random,Random,2,0.48375,0.14896021192533965,0.033308515980783424,19.35,5.958408477013587,1.3323406392313373,2.6570736295748842,1.161241734912075,0.25966154575731903,1.0976502096157827,0.7227420786998024,0.16161004181722607,10.747720980724171,1.2556389885266446,0.28076941335446554,4.338094025167381,1.4081194166891258,0.3148650736154237,-1.8059419363701648,1.76359630424686,0.39435212211633797,0.0,0,0.4184653086776645,0.5490346913223355,16.73861234710658,21.96138765289342,2.148136999890539,3.1660102592592296,0.7808945276540196,1.414405891577546,10.197412930549419,11.298029030898924,3.7209584808811504,4.9552295694536115,-2.578872095718187,-1.0330117770221423,0.39484375,0.08998626425701986,0.0201215403919956,0.35540553083168863,0.43428196916831135
random,Random,3,0.43375,0.11817554961292032,0.026424856221288876,17.35,4.727021984516811,1.0569942488515551,2.407708534152418,0.9565246327026485,0.21388541008761408,0.8273828383155701,0.5248053477036637,0.11735004324208052,10.916879796288066,0.7903181453999804,0.1767205096965919,4.153812652846673,1.2167843782248584,0.2720812583670598,-1.455201111848769,1.6199721101497087,0.3622367759948525,0.0,0,0.3819572818062738,0.48554271819372624,15.278291272250954,19.42170872774905,1.9884931303806943,2.8269239379241413,0.5973767535610923,1.057388923070048,10.570507597282747,11.263251995293386,3.620533386447236,4.68709191924611,-2.16518519279868,-0.7452170308988583,0.39484375,0.08998626425701986,0.0201215403919956,0.35540553083168863,0.43428196916831135
random,Random,4,0.39125,0.08478882436289646,0.018959357500772676,15.65,3.3915529745158586,0.7583743000309071,2.173469067736583,0.5286282981500117,0.11820488094934525,0.5753592688962647,0.2741760786377382,0.06130763496383105,11.019602452400468,0.41835447997255354,0.0935469055910204,3.950830575309933,0.6900882682447128,0.15430842782702872,-1.3587345064211318,1.267911210061984,0.2835135655132611,0.0,0,0.35408965929848557,0.4284103407015144,14.163586371939422,17.136413628060577,1.9417875010758663,2.4051506343972995,0.4551963043671558,0.6955222334253734,10.836250517442068,11.202954387358869,3.6483860567689566,4.25327509385091,-1.9144210948271236,-0.80304791801514,0.39484375,0.08998626425701986,0.0201215403919956,0.35540553083168863,0.43428196916831135
random,Random,5,0.36375,0.10402270754124082,0.02326018452657945,14.55,4.160908301649634,0.9304073810631782,1.9302247789837677,0.6455682247573246,0.14435344346712403,0.5034846155191893,0.37087436282575104,0.08293002863903001,10.85516968669614,0.35013679630631755,0.0782929677964923,3.6290543070502737,0.8305875820501827,0.18572502947313926,-1.4349946776217664,0.9922376073933404,0.22187107399632575,0.0,0,0.3181600383279043,0.40933996167209574,12.72640153311617,16.37359846688383,1.6472920297882045,2.2131575281793308,0.34094175938669047,0.6660274716516882,10.701715469815015,11.008623903577265,3.265033249282921,3.9930753648176265,-1.8698619826545648,-1.0001273725889679,0.39484375,0.08998626425701986,0.0201215403919956,0.35540553083168863,0.43428196916831135
random,Random,6,0.3525,0.10510020281416657,0.023501119794149115,14.1,4.204008112566663,0.9400447917659647,1.8475166622287547,0.6700232763963297,0.14982175925293234,0.46454947891310966,0.39327651216304144,0.08793930151505834,10.621133301438137,0.8657628310218792,0.19359045425575852,3.5067160932251347,0.8717849461760275,0.1949370401410593,-1.330725327637973,0.9612105487488071,0.21493321276922078,0.0,0,0.3064378052034677,0.39856219479653227,12.257512208138708,15.942487791861291,1.5538660140930074,2.141167310364502,0.29218844794359533,0.636910509882624,10.24169601109685,11.000570591779423,3.124639494548658,3.888792691901611,-1.7519944246656456,-0.9094562306103002,0.39484375,0.08998626425701986,0.0201215403919956,0.35540553083168863,0.43428196916831135
random,Random,7,0.31875,0.08065317235252632,0.01803459759812555,12.75,3.2261268941010526,0.7213839039250218,1.7053473674587174,0.567604045046492,0.12692012290278087,0.3777058283770569,0.2010835872163792,0.04496365701753316,10.649316094643803,0.7624916445991854,0.17049831495993883,3.3449722873539507,0.7666646929486004,0.17143143693820742,-1.2551581833432703,0.7393139581125296,0.16531562670540487,0.0,0,0.2834021887076739,0.35409781129232604,11.336087548306956,14.163912451693044,1.4565839265692668,1.954110808348168,0.2895770606226919,0.4658345961314219,10.315139397322323,10.983492791965283,3.008966670955064,3.6809779037528374,-1.5791768116858638,-0.9311395550006768,0.39484375,0.08998626425701986,0.0201215403919956,0.35540553083168863,0.43428196916831135
random,Random,8,0.315,0.06996239591455729,0.01564406731337037,12.6,2.7984958365822923,0.6257626925348146,1.6791038631824022,0.4930886709555814,0.1102579787191706,0.39455428936983084,0.18346423750766608,0.04102385065073079,10.65008547710591,0.7945132676381921,0.17765856754644813,3.3313689583765025,0.682704405534533,0.15265734593137995,-1.1992167812898658,0.7177013422523473,0.16048289888190903,0.0,0,0.2843376280657941,0.3456623719342059,11.373505122631762,13.826494877368237,1.462998224892828,1.8952095014719765,0.3141475420943985,0.4749610366452632,10.301874684714871,10.998296269496947,3.032160560350998,3.630577356402007,-1.5137632630984075,-0.884670299481324,0.39484375,0.08998626425701986,0.0201215403919956,0.35540553083168863,0.43428196916831135
gp_m52_pi,GP M52 + PI,0,0.54625,0.14356252076506967,0.03210155554519208,21.85,5.742500830602785,1.2840622218076831,3.43349299035564,1.7482571420310296,0.3909221811730887,2.389022915360055,3.1346350058641166,0.7009256957762616,11.287916614224802,0.6453030452212005,0.14429414752022257,5.140641347079233,1.7127948199087066,0.38299256488253786,-2.1124970176890843,2.625436642405041,0.5870654803036477,0.0,0,0.48333095113142355,0.6091690488685765,19.33323804525694,24.366761954743062,2.667285515256386,4.199700465454894,1.0152085516385823,3.762837279081528,11.005100085085166,11.570733143364437,4.3899759199094595,5.891306774249007,-3.2631453590842336,-0.9618486762939349,0.3721875,0.07305524113011294,0.016335648527957113,0.3401696288852041,0.40420537111479593
gp_m52_pi,GP M52 + PI,1,0.49749999999999994,0.13834073114862752,0.030933927890535368,19.9,5.533629245945102,1.2373571156214147,3.09730401285003,1.426419853032762,0.31895717558365155,1.5746748943379942,1.6340917344788997,0.36539401997653553,11.366023104843668,0.5945907792746521,0.13295454012526947,4.890079591755111,1.553249498585648,0.3473171464854971,-2.143188276404192,2.0992552327104392,0.4694077402462682,0.0,0,0.4368695013345506,0.5581304986654493,17.474780053382027,22.32521994661797,2.4721479487060734,3.722460076993987,0.8585026151839846,2.2908471734920037,11.10543220619814,11.626614003489196,4.209337984643536,5.570821198866685,-3.0632274472868772,-1.2231491055215062,0.3721875,0.07305524113011294,0.016335648527957113,0.3401696288852041,0.40420537111479593
