method,family,run,final_best_q,final_simple_regret,final_normalized_regret,final_best_rank_percentile,final_hit_top1pct,final_hit_top0_1pct,final_success_fraction,first_final_best_iteration,first_final_best_n_experiments,experiments_to_90pct_oracle,iteration_to_90pct_oracle,auc_normalized_best,total_fit_seconds,total_acq_seconds,total_seconds,last_surrogate_rmse_raw,last_surrogate_mae_raw,last_surrogate_spearman_raw,last_surrogate_crps,last_surrogate_nll,last_surrogate_coverage95,pool_oracle_best_q,full_grid_best_q
GP_Matern52_PI,Acquisition Ablation,0,221213.0,25894.0,0.10478861383934894,99.99978692618402,1.0,1.0,0.7666666666666667,21.0,129.0,,,0.719897938949524,2.5210647090098064,0.6472261700000672,3.1682908790098736,5123.462986457349,873.4245599489149,0.4238175047933458,1.4559072319301927,2.8803444624364305,0.9164,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,1,163429.0,83678.0,0.33863063369309654,99.99595159749634,1.0,1.0,0.7,25.0,150.0,,,0.41183900091863035,2.8711637949963915,0.5770012940083689,3.4481650890047604,5592.196458537614,966.277870983104,0.36299063862457337,1.447298492435422,2.715906909949942,0.9546,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,2,158309.0,88798.0,0.3593504028619181,99.994689544894,1.0,1.0,0.7266666666666667,13.0,81.0,,,0.45827864042702143,2.0797095830239414,0.5841485809942242,2.6638581640181656,5990.48234041277,1027.135317566822,0.3499579001793685,1.58458594798258,2.699715393067822,0.9666,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,3,221080.0,26027.0,0.10532684221814842,99.99977053589049,1.0,1.0,0.74,22.0,135.0,,,0.6950841538280988,2.627936792010587,0.585155085002043,3.21309187701263,4478.475558509985,894.6122964755492,0.3936814158451103,1.4664703361408729,2.689805481476069,0.9528,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,4,146209.0,100898.0,0.4083170448429223,99.9910181191417,1.0,1.0,0.6133333333333333,24.0,147.0,,,0.4828260632033896,3.278914373000589,0.582954831992538,3.861869204993127,5802.366832869775,1066.8931169451334,0.3663470934059669,1.6626023421974547,2.6011125926483967,0.9758,247107.0,247107.0
GP_Matern52_PI_GATE_5T1S,Imperfection-aware,0,151964.0,95143.0,0.38502753867757694,99.9927882708437,1.0,1.0,0.6866666666666666,12.0,75.0,,,0.4725677540498651,3.1177140440086077,0.4889434989854635,3.6066575429940713,5594.812829561278,973.2459170141608,0.40632772359225616,1.216997869513753,2.520795364968339,0.9648,247107.0,247107.0
GP_Matern52_PI_GATE_5T1S,Imperfection-aware,1,222753.0,24354.0,0.09855649576903933,99.99990165823877,1.0,1.0,0.6266666666666667,8.0,51.0,51.0,8.0,0.7301037202507417,2.4756471659929957,0.46486479201121256,2.9405119580042083,6423.7377528833795,1066.386964447054,0.3891572683660412,1.572557931701076,2.790497331056113,0.9824,247107.0,247107.0
GP_Matern52_PI_GATE_5T1S,Imperfection-aware,2,208000.0,39107.0,0.15825937751662236,99.99900019209424,1.0,1.0,0.7133333333333334,21.0,129.0,,,0.6137198865268892,2.8544740849938535,0.4625707509985659,3.3170448359924194,4884.356504578683,878.1386428129096,0.3998927029932347,1.3189272708606927,2.6092743298291,0.9584,247107.0,247107.0
GP_Matern52_PI_GATE_5T1S,Imperfection-aware,3,163738.0,83369.0,0.3373801632491188,99.99598437808342,1.0,1.0,0.7533333333333333,14.0,87.0,,,0.5328917432529229,3.6059601260021736,0.4603969540003163,4.06635708000249,5013.2808664895365,1075.0908047928017,0.23796430994694315,2.6302771407073173,3.01581718717186,0.988,247107.0,247107.0
GP_Matern52_PI_GATE_5T1S,Imperfection-aware,4,156909.0,90198.0,0.36501596474401776,99.99429617784911,1.0,1.0,0.72,17.0,105.0,,,0.36439234825399525,3.396684083993023,0.44061903802503366,3.8373031220180565,6571.175713243438,1921.5870833041556,0.27196855336840403,3.8662900697776172,3.249486331348389,0.9948,247107.0,247107.0
