feature,pearson_r,spearman_rho
d2,0.1935956460832825,-0.2814362669129327
d3,0.14240322542607864,-0.3403447607429462
mean_d_k3,0.19844591673814954,-0.2998617882223146
mean_d_k5,0.16251207752360078,-0.30515599163574514
kde_cheb,-0.1551887639362625,-0.1868078143563092
nearest_chebyshev_distance,0.25689436090877066,-0.24784687692738355
