experiment_id,metal_amount,modulator,add_solvent,reaction_time,reaction_temperature,Intensity_exp,FWHM_exp,q_true,q_pred_mean,intensity_pred_mean,fwhm_pred_mean,rf_intensity_variance,rf_fwhm_variance,nearest_chebyshev_distance,rule1_neighbor_count,rule2_neighbor_count,rule_applied,intensity_3000_cross_rate,fwhm_3_cross_rate,y_abs_error,y_log_abs_error,row_idx,catastrophic,n_feature_outliers,mahalanobis_d2
Q078,28,7,0,12,30,11411.0,0.22,51868,609.8,8002.8,24.54,22499946.42555625,73.09736530175,8.0,0,0,0,0.0,0.8,51258.2,9.251897214272663,78,True,1,10.180015776400314
Q079,33,10,7,11,18,8060.0,0.25,32240,0.0,0.0,30.0,10044459.00267,132.282684356,8.0,0,0,0,1.0,0.0,32240.0,10.380994213509265,79,True,0,4.0196873691108
Q080,35,5,22,9,14,0.0,30.0,0,0.0,5390.4,30.0,50274975.8137525,14.216729571375,6.0,0,0,0,0.0,1.0,0.0,0.0,80,False,1,10.06479121664436
Q081,36,10,24,3,18,0.0,30.0,0,0.0,0.0,30.0,14131216.960444998,190.728642025125,6.0,0,0,0,1.0,0.0,0.0,0.0,81,False,0,4.421207880002506
Q082,38,13,16,8,24,0.0,30.0,0,0.0,0.0,30.0,6285054.96888375,85.24381735025,7.0,0,0,0,1.0,0.0,0.0,0.0,82,False,0,3.9517634379068918
Q083,41,14,5,3,16,0.0,30.0,0,0.0,0.0,30.0,1383426.8701512502,101.172789768875,8.0,0,0,0,1.0,0.0,0.0,0.0,83,False,0,14.737089673852326
Q084,42,7,27,6,17,0.0,30.0,0,0.0,0.0,30.0,24653324.73946125,16.713108845125,6.0,0,0,0,1.0,0.0,0.0,0.0,84,False,0,5.117562975304075
Q085,45,6,11,8,28,0.0,30.0,0,0.0,4215.2,30.0,38746970.88712625,178.48261626775,7.0,0,0,0,0.0,1.0,0.0,0.0,85,False,1,8.346802326710302
Q086,48,14,3,12,23,920.0,4.6,200,0.0,0.0,30.0,6421720.1984275,5.387204978375001,8.0,0,0,0,1.0,0.0,200.0,5.303304908059076,86,True,0,6.611690438299874
Q087,55,11,8,2,15,0.0,30.0,0,0.0,0.0,30.0,9672702.2572325,13.771887190625,8.0,0,0,0,1.0,0.0,0.0,0.0,87,False,0,4.488477652513876
Q088,62,7,26,11,26,0.0,30.0,0,0.0,0.0,30.0,21200747.06130125,31.15269515975,10.0,0,0,0,1.0,0.0,0.0,0.0,88,False,0,10.789621701658456
Q089,62,10,12,10,17,0.0,30.0,0,0.0,0.0,30.0,9032838.9095825,6.3146489375,7.0,0,0,0,1.0,0.0,0.0,0.0,89,False,0,5.077523765427163
Q090,65,5,0,12,24,0.0,30.0,0,0.0,0.0,30.0,13107917.22405625,127.94699153275,10.0,0,0,0,1.0,0.0,0.0,0.0,90,False,0,8.908225928692229
Q091,68,7,15,12,24,0.0,30.0,0,0.0,0.0,30.0,27066192.60331,85.516937513,7.0,0,0,0,1.0,0.0,0.0,0.0,91,False,0,4.789807532504746
Q092,69,6,23,1,20,605.0,30.0,0,0.0,0.0,30.0,25703743.78554625,31.292685378375005,5.0,0,0,0,1.0,0.0,0.0,0.0,92,False,0,5.710615964300477
Q093,74,7,23,1,16,0.0,30.0,0,0.0,0.0,30.0,3831376.72826125,0.7776245163749999,5.0,0,0,0,1.0,0.0,0.0,0.0,93,False,0,14.058212736959085
Q094,75,12,6,11,18,0.0,30.0,0,0.0,0.0,30.0,16878760.380131252,83.612600422125,9.0,0,0,0,1.0,0.0,0.0,0.0,94,False,0,6.205245362307711
Q095,75,15,0,1,30,0.0,30.0,0,0.0,0.0,30.0,6030409.571094999,159.6390804095,11.0,0,0,0,1.0,0.0,0.0,0.0,95,False,0,12.897626092152201
